name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Abcb1a1,292943,263239,17868,567027,19703,504239,12430,547368,207887,186216,15270,517970,14305,378890,594,94902
Abcb1a2,43646,19804,5377,40717,8626,25604,13442,37884,34552,37640,8093,66718,9349,73084,1887,16151
Abcb1b4,16591,7151,1260,6879,6427,4275,6951,21812,11199,34251,25873,28928,11421,32432,3519,22660
Abcb1b5,46683,45159,40717,86833,15864,40611,6182,20600,42817,24250,23590,10412,6570,8734,2426,3725
Ahr1,33338,27206,13988,36160,27693,17993,6102,12063,17194,35712,21581,46576,20052,11867,4285,8281
Ahr2,4372,1398,1542,10142,2431,1938,671,2644,12431,21617,17850,13043,4417,6038,1693,88
Ahr3,16379,4339,3931,1533,3773,1615,1153,1147,15542,1820,2799,862,1766,1102,4,0
Ar1,2536,1581,2250,3123,1990,1562,1101,668,5408,780,764,858,327,220,1971,204
Ar2,39828,5088,1552,1332,2549,1821,38,358,2381,10045,1619,3036,16500,4878,1246,333
Ar3,23456,7199,9360,7149,29751,16454,15595,6817,18216,24352,9298,3721,1443,5473,5,4866
Blimp-1,29245,24208,14903,23322,20839,18604,10092,27313,11548,56129,47519,40024,35304,28870,20764,17692
Cd19-1,308931,190636,164500,291429,221074,160288,203725,125986,223086,133236,106394,112635,152328,130573,25164,34643
Cd19-2,11591,9482,7027,7189,8721,3494,961,109,7766,13769,21257,11269,4909,3287,6090,5910
Cd19-3,35725,86820,76864,82551,122599,87518,16064,13661,23337,74801,52188,51373,70243,69768,8340,9749
Cd8a-1,10650,38125,32572,22642,6463,15506,9388,22873,15544,19721,28678,26066,29717,21893,5201,4011
Cd8a-2,32061,7547,7641,11942,7595,12649,1407,827,33673,16132,12908,18682,19423,14290,2951,984
Cd8a-3,27,30,173,58,118,39,10,5,4668,40,286,73,55,42,59,9
Creb-1,0,0,0,0,41,0,0,0,3447,1,4,0,278,7,0,113
Creb-2,25892,8401,6742,7334,5764,1959,1292,2244,25589,11189,13467,9552,6749,6796,4963,6410
Creb-3,188553,83314,57479,73854,138224,59713,52979,44474,206555,121479,94684,95790,96837,98529,25594,33725
Dmrta1-1,32696,10911,6786,10284,7460,5782,2693,1123,12275,13229,6465,6372,4659,4750,1020,3338
Dmrta1-2,48939,25800,13291,13749,18560,9627,244,4728,41690,28043,4059,47034,16173,23271,11006,47259
