name,target
Abcb1a1,Abcb1a
Abcb1a2,Abcb1a
Abcb1b4,Abcb1b
Abcb1b5,Abcb1b
Ahr1,Ahr
Ahr2,Ahr
Ahr3,Ahr
Ar1,Ar
Ar2,Ar
Ar3,Ar
Blimp1,Blimp
Cd191,negCtrl_Cd19
Cd192,negCtrl_Cd19
Cd193,negCtrl_Cd19
Cd8a1,negCtrl_Cd8
Cd8a2,negCtrl_Cd8
Cd8a3,negCtrl_Cd8
Creb1,Creb
Creb2,Creb
Creb3,Creb
Dmrta11,Dmrta1
Dmrta12,Dmrta1
Dmrta13,Dmrta1
Dmrta14,Dmrta1
Dmrta15,Dmrta1
Eomes1,Eomes
Eomes2,Eomes
Eomes3,Eomes
Eomes4,Eomes
Eomes5,Eomes
Esr11,Esr1
Esr12,Esr1
Esr13,Esr1
Esr21,Esr2
Esr22,Esr2
Esr23,Esr2
Esrra1,Esrra
Esrra2,Esrra
Esrra3,Esrra
Esrrb1,Esrrb
Esrrb2,Esrrb
Esrrb3,Esrrb
Esrrb4,Esrrb
Esrrb5,Esrrb
Esrrg1,Esrrg
Esrrg2,Esrrg
Esrrg3,Esrrg
Esrrg4,Esrrg
Hnf4a1,Hnf4a
Hnf4a2,Hnf4a
Hnf4a3,Hnf4a
Hnf4a4,Hnf4a
Hnf4a5,Hnf4a
Hnf4g1,Hnf4g
Hnf4g2,Hnf4g
Hnf4g3,Hnf4g
Hnf4g4,Hnf4g
Ncoa11,Ncoa1
Ncoa12,Ncoa1
Ncoa13,Ncoa1
Ncoa14,Ncoa1
Ncoa15,Ncoa1
Ncoa21,Ncoa2
Ncoa22,Ncoa2
Ncoa23,Ncoa2
Ncoa24,Ncoa2
Ncoa25,Ncoa2
Ncoa26,Ncoa2
Ncoa31,Ncoa3
Ncoa32,Ncoa3
Ncoa33,Ncoa3
Ncoa34,Ncoa3
Ncoa35,Ncoa3
Ncoa41,Ncoa4
Ncoa42,Ncoa4
Ncoa43,Ncoa4
Ncoa44,Ncoa4
Ncoa45,Ncoa4
Ncoa51,Ncoa5
Ncoa52,Ncoa5
Ncoa53,Ncoa5
Ncoa61,Ncoa6
Ncoa62,Ncoa6
Ncoa63,Ncoa6
Ncoa71,Ncoa7
Ncoa72,Ncoa7
Ncoa73,Ncoa7
Nontargetingnegativecontrol#2(RFP)1,negCtrl_RFP
Nontargetingnegativecontrol#3(RFP)2,negCtrl_RFP
Nontargetingnegativecontrol#4(EGFP_881)1,negCtrl_EGFP
Nontargetingnegativecontrol#5(EGFP_1212)2,negCtrl_EGFP
Nr0b11,Nr0b1
Nr0b12,Nr0b1
Nr0b13,Nr0b1
Nr0b14,Nr0b1
Nr0b21,Nr0b2
Nr0b22,Nr0b2
Nr0b23,Nr0b2
Nr1d11,Nr1d1
Nr1d12,Nr1d1
Nr1d13,Nr1d1
Nr1d24,Nr1d2
Nr1d25,Nr1d2
Nr1d26,Nr1d2
Nr1h21,Nr1h2
Nr1h22,Nr1h2
Nr1h23,Nr1h2
Nr1h34,Nr1h3
Nr1h35,Nr1h3
Nr1h36,Nr1h3
Nr1h41,Nr1h4
Nr1h42,Nr1h4
Nr1h43,Nr1h4
Nr1i21,Nr1i2
Nr1i22,Nr1i2
Nr1i23,Nr1i2
Nr1i24,Nr1i2
Nr1i25,Nr1i2
Nr1i26,Nr1i2
Nr1i27,Nr1i2
Nr1i28,Nr1i2
Nr1i31,Nr1i3
Nr1i32,Nr1i3
Nr1i33,Nr1i3
Nr1i34,Nr1i3
Nr1i35,Nr1i3
Nr2c11,Nr2c1
Nr2c12,Nr2c1
Nr2c13,Nr2c1
Nr2c24,Nr2c2
Nr2c25,Nr2c2
Nr2c26,Nr2c2
Nr2e11,Nr2e1
Nr2e12,Nr2e1
Nr2e13,Nr2e1
Nr2e34,Nr2e3
Nr2e35,Nr2e3
Nr2e36,Nr2e3
Nr2e37,Nr2e3
Nr2e38,Nr2e3
Nr2f11,Nr2f1
Nr2f12,Nr2f1
Nr2f13,Nr2f1
Nr2f14,Nr2f1
Nr2f21,Nr2f2
Nr2f22,Nr2f2
Nr2f23,Nr2f2
Nr2f24,Nr2f2
Nr2f61,Nr2f6
Nr2f62,Nr2f6
Nr2f63,Nr2f6
Nr2f64,Nr2f6
Nr2f65,Nr2f6
Nr2f66,Nr2f6
Nr3c11,Nr3c1
Nr3c12,Nr3c1
Nr3c13,Nr3c1
Nr3c24,Nr3c2
Nr3c25,Nr3c2
Nr3c26,Nr3c2
Nr4a11,Nr4a1
Nr4a12,Nr4a1
Nr4a13,Nr4a1
Nr4a14,Nr4a1
Nr4a25,Nr4a2
Nr4a26,Nr4a2
Nr4a27,Nr4a2
Nr4a31,Nr4a3
Nr4a32,Nr4a3
Nr4a33,Nr4a3
Nr5a11,Nr5a1
Nr5a12,Nr5a1
Nr5a13,Nr5a1
Nr5a14,Nr5a1
Nr5a21,Nr5a2
Nr5a22,Nr5a2
Nr5a23,Nr5a2
Nr6a11,Nr6a1
Nr6a12,Nr6a1
Nr6a13,Nr6a1
Nr6a14,Nr6a1
Pgr1,Pgr
Pgr2,Pgr
Pgr3,Pgr
Pgr4,Pgr
Pgr5,Pgr
Pgr6,Pgr
Ppara1,Ppara
Ppara2,Ppara
Ppara3,Ppara
Ppard1,Ppard
Ppard2,Ppard
Ppard3,Ppard
Ppard4,Ppard
Ppard5,Ppard
Ppard6,Ppard
Ppard7,Ppard
Pparg1,Pparg
Pparg2,Pparg
Pparg3,Pparg
Pparg4,Pparg
Pparg5,Pparg
Ppargc1a1,Ppargc1a
Ppargc1a2,Ppargc1a
Ppargc1a3,Ppargc1a
Ppargc1b1,Ppargc1b
Ppargc1b2,Ppargc1b
Ppargc1b3,Ppargc1b
Rara1,Rara
Rara2,Rara
Rara3,Rara
Rara4,Rara
Rarb1,Rarb
Rarb2,Rarb
Rarb3,Rarb
Rarg1,Rarg
Rarg2,Rarg
Rarg3,Rarg
Rora1,Rora
Rora2,Rora
Rora3,Rora
Rorb1,Rorb
Rorb2,Rorb
Rorb3,Rorb
Rorc1,Rorc
Rorc2,Rorc
Rorc3,Rorc
Rxra1,Rxra
Rxra2,Rxra
Rxra3,Rxra
Rxra4,Rxra
Rxrb1,Rxrb
Rxrb2,Rxrb
Rxrb3,Rxrb
Rxrb4,Rxrb
Rxrg1,Rxrg
Rxrg2,Rxrg
Rxrg3,Rxrg
Scand11,Scand1
Scand12,Scand1
Scand13,Scand1
Scand14,Scand1
Tgr51,Tgr5
Tgr52,Tgr5
Tgr53,Tgr5
Thra1,Thra
Thra2,Thra
Thra3,Thra
Thra4,Thra
Thra5,Thra
Thra6,Thra
Thrb1,Thrb
Thrb2,Thrb
Thrb3,Thrb
Thrb4,Thrb
Vdr1,Vdr
Vdr2,Vdr
Vdr3,Vdr
