name,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Abcb1a1,-20.87879027535425,-21.35823492281129,-19.799601409399216,-19.522060780978478,-21.56514087099258,-6.3447810549752575,-5.645460356017779,-0.4794446474570435,1.0791888659550324,1.3567294943757702,-0.6863505956383307,14.53400922037899,15.23332991933647,1.558633513412076,1.8361741418328137,-0.20690594818128716,15.013453867836034,15.712774566793513,0.2775406284207378,-1.765539461593363,13.454820354423958,14.154141053381437,-2.043080090014101,13.17727972600322,13.8766004249607,15.220359816017321,15.9196805149748,0.6993206989574787
Abcb1a2,-8.205293792910169,-11.345777546516686,-9.586340254426176,-7.904195982406975,-11.475326111349503,-0.038739529217053814,-0.8987221879898613,-3.1404837536065173,-1.3810464615160072,0.30109781050319384,-3.270032318439334,8.166554263693115,7.3065716049203075,1.7594372920905101,3.441581564109711,-0.12954856483281674,11.307038017299632,10.447055358526825,1.682144272019201,-1.8889858569233269,9.547600725209122,8.687618066436315,-3.571130128942528,7.865456453189921,7.005473794417114,11.436586582132449,10.576603923359642,-0.8599826587728074
Abcb1b4,-9.242542334299259,-7.659184170058623,-5.586242277898592,-8.142080251352283,-7.134539425873513,-6.401273164878489,-3.0658192309910532,1.5833581642406358,3.656300056400667,1.1004620829469758,2.108002908425746,2.8412691694207695,6.1767231033082055,2.0729418921600313,-0.48289608129366,0.5246447441851103,1.2579110051801337,4.59336493906757,-2.5558379734536913,-1.548297147974921,-0.8150308869798977,2.5204230469075384,1.0075408254787703,1.7408070864737937,5.07626102036123,0.7332662609950233,4.068720194882459,3.335453933887436
Abcb1b5,-6.732506386988106,-10.55809350338167,-13.708600972450412,-12.361594496071504,-14.22110089763855,-12.700404075432033,-5.534480694483079,-3.8255871163935637,-6.976094585462306,-5.629088109083398,-7.488594510650444,-5.9678976884439265,1.198025692505027,-3.1505074690687422,-1.803500992689834,-3.66300739425688,-2.142310572050363,5.023612808898591,1.3470064763789082,-0.5124999251881377,1.0081968970183794,8.174120277967333,-1.859506401567046,-0.3388095793605288,6.827113801588425,1.5206968222065171,8.68662020315547,7.1659233809489535
Ahr1,-4.59374774201703,-6.463717786285017,-9.22422979797517,-10.702441892456989,-12.199715599660266,-8.074957453216626,-8.992229921394198,-1.869970044267987,-4.63048205595814,-6.108694150439959,-7.605967857643236,-3.4812097111995968,-4.398482179377169,-2.760512011690153,-4.238724106171972,-5.735997813375249,-1.6112396669316098,-2.5285121351091817,-1.478212094481819,-2.975485801685096,1.1492723447585433,0.23199987658097143,-1.4972737072032771,2.6274844392403622,1.7102119710627903,4.124758146443639,3.2074856782660675,-0.9172724681775719
Ahr2,-1.366100975605292,-6.840923249923165,-10.744475801468568,-12.76219354640368,-12.674875042265597,-12.537449147407472,-5.710957592325087,-5.474822274317873,-9.378374825863276,-11.396092570798388,-11.308774066660305,-11.17134817180218,-4.344856616719795,-3.9035525515454026,-5.921270296480515,-5.833951792342432,-5.696525897484307,1.1299656575980777,-2.017717744935112,-1.9303992407970298,-1.7929733459389041,5.03351820914348,0.08731850413808218,0.2247443989962079,7.051235954078592,0.13742589485812573,6.96391744994051,6.826491555082384
Ahr3,-0.5361149397230349,-4.568807690447471,-18.162334415047155,-8.773020794077027,-3.5810274151348267,-10.007227179979026,-8.13657721506003,-4.032692750724436,-17.62621947532412,-8.236905854353992,-3.0449124754117918,-9.47111224025599,-7.600462275336994,-13.593526724599684,-4.204213103629556,0.9877802753126446,-5.4384194895315545,-3.567769524612558,9.389313620970128,14.581306999912329,8.15510723506813,10.025757199987126,5.1919933789422,-1.2342063859019987,0.6364435790169978,-6.426199764844199,-4.555549799925203,1.8706499649189965
Ar1,5.8319735431840485,2.6069715236298947,-5.057137486053847,1.3612973692161319,-1.2826413211784171,-0.6144681683391724,1.4968534578197534,-3.2250020195541538,-10.889111029237895,-4.470676173967917,-7.114614864362466,-6.446441711523221,-4.335120085364295,-7.664109009683742,-1.2456741544137628,-3.889612844808312,-3.221439691969067,-1.1101180658101413,6.418434855269979,3.77449616487543,4.4426693177146745,6.5539909438736,-2.643938690394549,-1.9757655375553043,0.13555608860362156,0.6681731528392447,2.7794947789981705,2.111321626158926
Ar2,2.41102782686918,-8.96609740787656,-19.344697026568852,-13.39757195901305,-6.269837947793576,-5.381532328522212,-14.697775797397298,-11.37712523474574,-21.755724853438032,-15.80859978588223,-8.680865774662756,-7.792560155391392,-17.10880362426648,-10.378599618692292,-4.431474551136489,2.6962594600829846,3.5845650793543484,-5.731678389520738,5.9471250675558025,13.074859078775276,13.96316469804664,4.646921229171554,7.127734011219474,8.016039630490837,-1.300203838384249,0.8883056192713639,-8.427937849603722,-9.316243468875086
Ar3,1.0163540170311194,-2.265107935924803,-5.711893055382902,-4.198839871798867,2.202733066126825,-1.8574252672077023,-4.077766595892683,-3.2814619529559224,-6.728247072414021,-5.215193888829987,1.1863790490957058,-2.8737792842388217,-5.094120612923803,-3.4467851194580987,-1.9337319358740643,4.467841002051628,0.4076826687171007,-1.8126586599678802,1.5130531835840344,7.914626121509727,3.8544677881751994,1.6341264594902185,6.4015729379256925,2.341414604591165,0.12107327590618411,-4.0601583333345275,-6.280499662019508,-2.220341328684981
