name,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Abcb1a1,1278,70647,90474,47979,44228,104418,3726,3317
Abcb1a2,1504,5943,10110,7491,5652,10339,1514,1753
Abcb1b4,1027,4891,3760,2662,4074,3446,3050,1741
Abcb1b5,844,2675,5055,8574,6830,9358,7230,2188
Ahr1,1019,2237,3059,4840,6191,7962,3999,4657
Ahr2,231,300,817,1609,2264,2231,2180,668
Ahr3,113,126,278,3058,606,230,756,540
Ar1,301,95,182,761,232,383,338,226
Ar2,125,76,686,4043,1489,420,356,1858
Ar3,1530,1285,2246,3992,3104,1046,2097,3042
Blimp-1,3027,4950,4863,3907,7905,6096,7019,5476
Cd19-1,22460,17668,29797,50967,31870,38886,30460,36425
Cd19-2,691,662,694,1854,2288,1776,3180,1329
Cd19-3,2394,2575,16113,5658,15904,12888,14511,18811
Cd8a-1,1431,2957,3831,2509,5692,4687,6887,3529
Cd8a-2,427,199,2759,6297,2330,2947,2310,2635
Creb-2,613,951,896,4931,1927,1625,2272,1220
Creb-3,7710,8601,16211,37851,20152,16326,17109,22930
Dmrta1-1,364,490,1078,4308,2375,1602,1490,1182
Dmrta1-2,1103,5718,3370,8682,5298,5849,1950,3388
Dmrta1-3,25,352,607,1304,1863,2211,2472,779
Dmrta1-4,36495,51792,57908,7468,65276,78884,49938,31180
Dmrta1-5,6028,4797,567,648,550,1616,3565,3232
Eomes1,1366,1410,3225,3371,2144,2056,2601,1760
Eomes2,1595,1635,1546,2526,1979,2030,3155,1865
Eomes3,684,477,709,417,718,208,658,899
Eomes4,1203,1148,2616,3920,4983,4421,4005,2449
Eomes5,4699,5597,6694,5539,8675,9565,7771,5324
Esr1-1,481,253,396,2024,479,721,581,275
Esr1-2,4,520,172,1011,123,338,180,42
Esr1-3,178,435,641,1750,1404,714,445,168
Esr2-1,185,66,65,1238,70,21,600,447
Esr2-2,1182,907,1838,1171,2152,1825,2769,1679
Esr2-3,1353,459,3637,5220,6802,5414,7162,5315
Esrra1,16,153,501,1468,249,407,442,704
Esrra2,50,7,22,552,14,253,115,141
Esrra3,67,603,17,1143,396,512,99,133
Esrrb1,36,45,42,545,163,30,61,81
Esrrb2,4,11,416,2688,405,0,368,1020
Esrrb3,2725,2878,1231,2665,2734,1238,1339,2568
Esrrb4,1797,2205,2394,4537,4663,3067,3733,3791
Esrrb5,46,37,6,336,517,454,626,467
Esrrg1,6,320,139,1020,197,34,142,199
Esrrg2,137,50,170,351,746,301,707,460
Esrrg3,4348,6597,38002,20941,19124,16364,13981,16982
Esrrg4,1165,302,401,6235,3699,575,3273,3195
Hnf4a1,474,277,26,489,103,0,148,59
Hnf4a2,703,618,449,2302,1026,457,910,681
