target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Abcb1a,-14.542042034132209,-16.35200623466399,-14.692970831912696,-13.713128381692727,-16.52023349117104,-3.1917602920961556,-3.27209127200382,-1.8099642005317804,-0.1509287977804874,0.828913652439482,-1.9781914570388324,11.350281742036053,11.269950762128389,1.659035402751293,2.6388778529712624,-0.16822725650705195,13.160245942567833,13.079914962660169,0.9798424502199694,-1.827262659258345,11.50121053981654,11.420879559908876,-2.8071051094783144,10.52136808959657,10.441037109688907,13.328473199074885,13.248142219167221,-0.08033097990766436
Abcb1b,-7.9875243606436825,-9.108638836720147,-9.647421625174502,-10.251837373711894,-10.677820161756031,-9.550838620155261,-4.300149962737066,-1.121114476076464,-1.6598972645308194,-2.264313013068211,-2.690295801112349,-1.5633142595115785,3.6873743979066163,-0.5387827884543555,-1.143198536991747,-1.5691813250358848,-0.44219978343511457,4.80848887398308,-0.6044157485373916,-1.0303985365815294,0.09658300501924089,5.347271662437436,-0.4259827880441378,0.7009987535566324,5.951687410974827,1.1269815416007702,6.377670199018965,5.250688657418195
Ahr,-2.165321219115119,-5.957816242218551,-12.710346671496964,-10.745885410979232,-9.48520601902023,-10.206544593534375,-7.613254909593105,-3.7924950231034322,-10.545025452381845,-8.580564191864113,-7.319884799905111,-8.041223374419255,-5.447933690477986,-6.752530429278413,-4.788069168760681,-3.527389776801679,-4.248728351315823,-1.655438667374554,1.9644612605177325,3.225140652476734,2.5038020779625896,5.097091761903859,1.2606793919590018,0.5393408174448572,3.1326305013861266,-0.7213385745141446,1.871951109427125,2.59328968394127
Ar,3.086451795694783,-2.874744606723823,-10.0379091893352,-5.411704820531928,-1.7832487342817227,-2.617808588023029,-5.759562978490076,-5.961196402418605,-13.124360985029982,-8.49815661622671,-4.869700529976505,-5.704260383717812,-8.846014774184859,-7.163164582611377,-2.5369602138081055,1.0914958724421002,0.256936018700794,-2.884818371766253,4.626204368803272,8.254660455053477,7.420100601312171,4.2783462108451245,3.6284560862502055,2.7938962325088994,-0.34785815795814773,-0.8345598537413063,-3.9763142442083534,-3.1417543904670473
Blimp,-2.9588293118642497,-2.8521327571824884,-1.5341921885414251,-5.756616934386216,-4.209238316578919,-5.051213868936486,-3.565937392832083,0.10669655468176131,1.4246371233228246,-2.797787622521966,-1.250409004714669,-2.0923845570722364,-0.6071080809678335,1.3179405686410632,-2.9044841772037273,-1.3571055593964303,-2.1990811117539977,-0.7138046356495948,-4.2224247458447906,-2.6750461280374935,-3.517021680395061,-2.031745204290658,1.547378617807297,0.7054030654497296,2.1906795415541325,-0.8419755523575674,0.6433009237468355,1.4852764761044028
Cd19,0.34355537016243903,-4.187778843118305,-4.737421566182685,-6.56202779788686,-5.944772598243968,-6.986460410848063,-5.977186200378223,-4.5313342132807435,-5.080976936345124,-6.9055831680493,-6.288327968406406,-7.330015781010502,-6.320741570540662,-0.5496427230643803,-2.374248954768556,-1.756993755125663,-2.7986815677297585,-1.7894073572599183,-1.8246062317041758,-1.2073510320612826,-2.249038844665378,-1.239764634195538,0.6172551996428931,-0.42443261296120244,0.5848415975086377,-1.0416878126040956,-0.03241360213425537,1.0092742104698402
Cd8a,-0.1391650992786566,-8.272228542257608,-9.482086375771964,-8.958851658364907,-9.076833761044732,-9.50316501975724,-7.887639905673218,-8.133063442978951,-9.342921276493307,-8.81968655908625,-8.937668661766075,-9.363999920478584,-7.748474806394562,-1.2098578335143557,-0.6866231161072989,-0.804605218787124,-1.2309364774996325,0.3845886365843896,0.5232347174070568,0.40525261472723173,-0.021078643985276813,1.5944464700987453,-0.11798210267982512,-0.5443133613923337,1.0712117526916884,-0.42633125871250854,1.1891938553715136,1.615525114084022
Creb,-1.5573602291463544,-3.1832799284095827,-10.220238229258463,-5.975214985712803,-4.92169740267115,-6.037207877500698,-4.961148442526003,-1.6259196992632283,-8.662878000112109,-4.417854756566449,-3.3643371735247953,-4.479847648354344,-3.4037882133796487,-7.03695830084888,-2.7919350573032204,-1.738417474261567,-2.8539279490911156,-1.7778685141164203,4.24502324354566,5.298540826587313,4.183030351757765,5.25908978673246,1.0535175830416534,-0.06199289178789513,1.0140665431868001,-1.1155104748295486,-0.03945103985485332,1.0760594349746953
Dmrta1,-4.804351028515183,-3.217645909668465,-5.034838403737683,-6.003091091959294,-7.170568769375498,-6.607721779816629,-5.181367815547747,1.5867051188467172,-0.23048737522250065,-1.1987400634441117,-2.3662177408603156,-1.8033707513014463,-0.377016787032565,-1.817192494069218,-2.785445182290829,-3.9529228597070327,-3.3900758701481637,-1.9637219058792823,-0.9682526882216109,-2.135730365637815,-1.5728833760789456,-0.1465294118100644,-1.1674776774162041,-0.6046306878573346,0.8217232764115465,0.5628469895588694,1.9892009538277506,1.4263539642688812
Eomes,0.1755630777349097,-2.360607052937195,-2.669598976957593,-3.259197378356956,-1.8787440859370463,-3.5554941685124475,-1.774508083949624,-2.5361701306721045,-2.8451620546925027,-3.4347604560918654,-2.054307163671956,-3.7310572462473575,-1.9500711616845336,-0.3089919240203983,-0.8985903254197609,0.4818629670001485,-1.1948871155752527,0.5860989689875709,-0.5895984013993626,0.7908548910205468,-0.8858951915548545,0.8950908930079692,1.3804532924199093,-0.2962967901554919,1.4846892944073318,-1.6767500825754014,0.10423600198742236,1.7809860845628236
Esr1,-7.757130557389523,-7.312306934946721,-15.502363544266627,-8.586097746976698,-9.779664272796332,-7.417734401479059,-2.0442489210929913,0.444823622442802,-7.745232986877103,-0.8289671895871749,-2.0225337154068086,0.3393961559104639,5.712881636296532,-8.190056609319905,-1.2737908120299768,-2.4673573378496108,-0.1054274665323381,5.26805801385373,6.916265797289928,5.722699271470295,8.084629142787568,13.458114623173635,-1.1935665258196337,1.1683633454976388,6.541848825883707,2.3619298713172725,7.735415351703341,5.373485480386068
Esr2,4.216343311855131,-1.1099733507583924,-6.115648235690922,-2.7909890867663614,-0.211693381509536,-7.068263330653153,-4.945629964346149,-5.326316662613524,-10.331991547546053,-7.007332398621493,-4.4280366933646675,-11.284606642508285,-9.16197327620128,-5.005674884932529,-1.681015736007969,0.8982799692488564,-5.958289979894761,-3.8356566135877563,3.3246591489245603,5.903954854181386,-0.9526150949622311,1.170018271344773,2.5792957052568255,-4.277274243886791,-2.154640877579787,-6.8565699491436165,-4.733936582836613,2.1226333663070043
Esrra,-4.459680983255024,-2.284458408536326,-16.54814220085736,-5.424927777409202,-11.244267102655606,-7.233194062346894,-8.90728938722767,2.1752225747186977,-12.088461217602335,-0.9652467941541781,-6.784586119400582,-2.7735130790918703,-4.447608403972647,-14.263683792321032,-3.140469368872876,-8.95980869411928,-4.9487356538105685,-6.622830978691344,11.123214423448156,5.303875098201753,9.314948138510465,7.640852813629688,-5.819339325246403,-1.808266284937692,-3.4823616098184687,4.011073040308712,2.3369777154279348,-1.6740953248807766
Esrrb,-1.0581162614614343,-2.020224204791299,-12.047408095530555,-9.13951127404833,-0.37784989575413447,-7.1824627034328135,-9.044802996203666,-0.9621079433298647,-10.989291834069121,-8.081395012586896,0.6802663657072998,-6.124346441971379,-7.986686734742231,-10.027183890739256,-7.119287069257031,1.6423743090371645,-5.162238498641514,-7.024578791412367,2.9078968214822254,11.669558199776422,4.864945392097742,3.00260509932689,8.761661378294196,1.9570485706155167,0.09470827784466422,-6.804612807678678,-8.66695310044953,-1.8623402927708526
