target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Abcb1a,0.027827450993931156,0.04037906939258717,0.3984166728666254,0.22974104267012968,0.0675722572706267,0.6272657764177558,0.6695160980548869,0.9810162024655349,0.327389927878883,0.43968316537140606,0.9565742079704036,0.016109735239441036,0.010635914280678397,0.22451283194453558,0.29767666002057,0.962555760068756,0.0015172632630778436,0.0003802252498831735,0.7178202934616085,0.2933131154187626,0.10392177554476095,0.12243258975573554,0.3404452871505398,0.008784444595597574,0.03969138895330334,0.00200414336409987,0.0068151888123887845,0.9340894635529577
Abcb1b,0.3034789532875359,0.4074086284548085,0.9159534017369644,0.5163949635011023,0.35057308321704006,0.4993052476572791,0.8133948001927473,0.880399765689631,0.45289638592561887,0.7885302215897703,0.9535767828968833,0.7467421673139587,0.21875109168872892,0.4269361872932984,0.8516757906058104,0.7953518917669915,0.7994839657463396,0.12544888670620802,0.4902909330712074,0.3603930225587296,0.5640076431083929,0.7023407398844574,0.6621408571705762,0.9287191043507175,0.2627916613634113,0.6133117465471478,0.1601266219657505,0.25425372134048035
Ahr,0.9764464338290157,0.719940943941098,0.4972227672813593,0.3726453772162821,0.35883555507863263,0.3301051614644074,0.642319201571713,0.6763463967977967,0.46913955420042897,0.35105897753998194,0.3333984153466065,0.3722676032297705,0.6372555381885556,0.6294096883241762,0.43514944804251143,0.400621999987648,0.48392948894540455,0.9214407683510879,0.8481251757232864,0.8212767204284097,0.8920711196638792,0.6827538873165648,0.930950028039933,0.953683247503371,0.519574445105189,0.893999153852347,0.5078788689777944,0.5159268990701678
Ar,0.23322719208797624,0.7767418944179769,0.8423108802530318,0.87602965078552,0.5921407092178576,0.46963084918615905,0.9659513309099853,0.3659215263215153,0.23069906109807475,0.36050973200347614,0.6219143283502662,0.6684630809266706,0.22909639408167903,0.5621691656146994,0.8751328736485695,0.6934741060542013,0.61962964099882,0.6349349213401929,0.6281718892488238,0.4079650148099201,0.3048052520373735,0.828395548472781,0.5883244678426285,0.43975046125201656,0.7992555041268242,0.9173287197197535,0.4778231012982823,0.33793914879286335
Blimp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cd19,0.5580304318241924,0.991702118048227,0.4516204722768087,0.9444835760315129,0.8024918254426172,0.7996204349482662,0.9265213055329311,0.5601404600696722,0.774136651851232,0.5496971973488943,0.44233686301992314,0.45262759202129654,0.5093780745479921,0.3330700216909762,0.9108902234026829,0.713119681212977,0.7532722142492382,0.8889087907850476,0.2490181580097058,0.24767111175974252,0.20782371894595827,0.280874493184576,0.7965272500505022,0.8036355761884819,0.9893646016360796,0.9605615207802921,0.829003145634094,0.8375685501387843
Cd8a,0.696160780296367,0.49258762677869816,0.9352780558749352,0.6587376624253434,0.4918692897291297,0.5045427277921469,0.6671422438505228,0.2565682594257787,0.6829213202152098,0.4238270898244523,0.296448204054309,0.345708065649739,0.4297422515190046,0.505556382015097,0.7716780375438073,0.926496154820813,0.9339623880477237,0.6675097336691915,0.6491679571994851,0.5040238446423284,0.5498743645779296,0.7351911637468536,0.711283807228188,0.8148170011923594,0.9269406766327886,0.8632009583550548,0.6810231017944581,0.7590752426369956
Creb,0.8932415945409127,0.8575529546494237,0.849591326293664,0.970254006183161,0.9629354966930801,0.9728015212641741,0.9098051755373321,0.9540308489722095,0.758298780403458,0.9338153817326268,0.8689424214531309,0.8801322031790618,0.9814643450287807,0.653238159827542,0.852466405568267,0.766920005149107,0.7877924200050244,0.9114523901743997,0.7515933042992207,0.8650058524310706,0.8304475983073651,0.7149615068700297,0.9077917693121571,0.9133211149286109,0.936518687811821,0.9804057154329994,0.8610771081370021,0.8549259362736483
Dmrta1,0.4755549968931051,0.7866523412953985,0.37609343159026676,0.9594062342333515,0.5391485185713766,0.8293848735481915,0.9097366943100963,0.3086308683884262,0.1307452114056023,0.48849514459001964,0.9912369303263806,0.6548377148837634,0.4188289130516911,0.38814697532295783,0.7708094584950996,0.2183204823634851,0.5447975421303943,0.8042502867801714,0.22919162591057005,0.0831430204676533,0.16045943414849498,0.29232864291049554,0.3455901400548277,0.6961266539092839,0.9510823864815436,0.5446439490733854,0.37320438583749427,0.6779037243450157
Eomes,0.4789661800762367,0.6137075291300903,0.14784095940021863,0.45491309174714756,0.5047398006179897,0.5076763064153651,0.2655138730265047,0.8622446778860624,0.3661104556883761,0.9026989166437488,0.9466502032082866,0.9633472124537072,0.7113690333233114,0.18561000011292397,0.7019487712857431,0.7656635570292533,0.886038521352543,0.44857290051769105,0.27825292255606643,0.3412172151665591,0.2258798323899985,0.45548450943174956,0.943597715157371,0.7885332738330231,0.7774065513281563,0.8797965233476336,0.7494941294703356,0.5859134852822196
