target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Abcb1a,-13.89191861165819,-12.49804352908751,-2.127979064785429,-3.4539180556965494,-8.30628130306897,0.8591969775942664,0.6566662474249791,0.00039167525682659896,2.0699740100767543,1.334843138136351,0.05521325674467265,18.098431878061476,20.379791150984893,3.162178068369077,2.5736115723765276,0.09030483462274948,37.720817727343075,40.599233398448035,-0.4749414768751635,-2.42287611230525,6.917284881734632,5.959352076874748,-1.868504145692051,24.57280525463738,10.87439945478638,34.94908960451453,25.588903583007415,-0.14922167206892206
Abcb1b,-2.213765206225381,-1.744521364988332,-0.22024271191575462,-1.258281470561377,-1.9489367996848064,-1.4424922724598714,0.29692948283070275,0.17947366744896798,1.3323940354289394,0.32638218137187813,-0.08224209247611333,0.3989712274884854,2.8425427151407785,1.4862175326204756,0.26975227101291777,-0.38906469065807425,0.3220011109350583,4.671657753592268,-1.160396079388299,-1.8936934271803527,-1.0434840719305742,0.6245528277162364,-0.6024050287173578,0.08426869300398422,2.4636519020666747,0.7308239858660104,4.059960964544286,2.7506016515796334
Ahr,0.05995733858369126,-0.4647971597224539,-1.2761020815150876,-1.6554003487300526,-1.5427486802828676,-2.068497101586189,-0.7512003085958462,-0.5864994559630121,-1.2069234555795456,-1.5653688379548267,-1.635639530658555,-1.5297788593330923,-0.6583334929118128,-0.7122485133065735,-1.325008099669045,-1.500733160602722,-1.084313642673653,-0.17567698249468222,-0.15858048971360397,-0.1987869216521566,-0.1378267622401427,0.5520799569934164,-0.06205252885846235,0.028064181973955382,0.7868131034521766,0.08870480518399122,0.8291560741005956,0.8781735393771756
Ar,2.496645159530691,0.35758878937362953,-0.32579788006774085,0.18626248037879498,0.7346404981791692,1.2139250814738003,-0.1179327091400298,-1.6600830053346929,-2.7335606798944996,-1.518863088108042,-0.6213622650021424,-0.5820213162864721,-2.5203008218532594,-0.8885235406768808,-0.19493423457235373,0.5759755678832628,0.6085554129022553,-0.6584597419087431,0.6901373760487153,1.4952206882764651,2.1679034773087382,0.2601653429084569,0.7092614764584313,1.1660557272801249,-0.34366974620114654,0.056244009522221444,-1.1488101363487548,-1.7635335084515908
Blimp,-0.11691055439021905,0.3208143987287092,1.6259494163849042,0.09729243144323436,0.09490957550680279,0.18339422070028943,0.46129951815340114,0.46817942219149655,1.503742648073742,0.18664854684586046,0.1913140570243159,0.24027558110593633,0.469094789879676,1.4389643342283147,-0.29630847318832393,-0.28141264522156473,-0.19475630861977156,0.10509033591191076,-1.7610465275135891,-1.5202819304437327,-1.772010990020113,-1.4599775274143139,0.013458093348779754,0.0827071628011432,0.3322895232241502,0.05192625734742715,0.30126167996439046,0.31128897517993837
Cd19,0.8217260310437446,0.012962458622402164,1.3323485891750968,-0.085273138444368,-0.2709174524406591,-0.37532651655076793,-0.17985886897606282,-0.8835082643835004,0.2662917100464764,-0.8204787618151591,-1.1343341781953988,-1.1818881859408714,-0.9853758447149163,1.6726276841990033,-0.13833901628784942,-0.4796750246002846,-0.4136654588931416,-0.22011837010113391,-2.2416078110121225,-2.3499920896563333,-3.0711861718997606,-2.3236416584225985,-0.25124306960973264,-0.327000196267203,-0.07289569812994211,-0.0010613108172544043,0.15405960460538473,0.1886131815684236
Cd8a,0.6088233129648605,-1.316493590746543,-0.17928781516483736,-0.7608660324876961,-1.2097717455907504,-1.4172044448815804,-0.8254818659440805,-3.003200279422678,-0.7204984898381889,-1.4988910772303983,-2.285525169742509,-2.0285210520895878,-1.5161318075766814,1.1347825493718702,0.4439499413067874,-0.11366607550309515,0.07387597821932815,0.5182598503660634,-0.6465889326075851,-1.1504722528897284,-1.0996653057738472,-0.5643598461209871,-0.4882723085416911,-0.3689473212195613,0.05200994243942606,0.1744016949952903,0.5213145591412114,0.40016250146887683
Creb,0.20538368009201002,0.2637835717625455,-0.3691603588308536,0.04911571178096432,-0.044628467562303924,-0.08236970855341122,0.09867471325051598,0.04637459176927409,-0.5321377812450367,-0.13225385331811057,-0.22242409649014055,-0.24911200563754832,-0.10737562257633637,-0.7865655581360012,-0.2829318749710072,-0.4561766063049381,-0.4217071758431725,-0.2138964337273645,0.5171695448225359,0.31213564350306044,0.3591683169213538,0.5911006981361381,-0.11843161151632618,-0.1807436444379953,0.036865705411278975,-0.020822211318979503,0.1493928424139705,0.20771077890464598
Dmrta1,-0.7595337383983084,0.26635121929567424,1.347940999472743,0.043023991547310424,-0.6531932213966573,-0.2571021866228715,0.03795320256671478,1.4766591432631075,3.163321593940134,0.7075259964406478,-0.01927418867925387,0.36689457292282807,0.7925736506623511,1.050908883067534,-0.2950726228887089,-2.2911351424250075,-0.7045824000889193,-0.2877281351119741,-1.87335001807689,-4.602898717726259,-3.0229515452829396,-1.7418161327334412,-1.1479432556135993,-0.42277083199273424,-0.013119282633594855,0.5728452561829226,1.009218662049348,0.35641540055699705
Eomes,0.8320714255808519,0.5524403221367835,3.462746416925069,0.966926477853452,0.7685223790047697,0.8169207502986047,1.7857798420408961,-0.19030782284751174,1.0992410112935413,0.06626904295831106,0.04074421695737227,-0.086745287689291,0.22807379305689446,2.3510074484277887,0.38699403762288603,0.3320030598695682,0.08634846849276526,0.7168989420097348,-1.5214901822095885,-1.2433080424838754,-2.1821521543704048,-0.9911127094241776,-0.030102295626212906,-0.28209441048149153,0.17478022033383656,-0.18055259988681344,0.1994339520240684,0.5172794589134659
