target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a,-1.8099642005317804,11.269950762128389,11.350281742036053,-1.9781914570388324,-0.1509287977804874,14.542042034132209,0.828913652439482,13.079914962660169,13.160245942567833,-0.16822725650705195,1.659035402751293,16.35200623466399,2.6388778529712624,0.08033097990766436,-13.248142219167221,-11.420879559908876,3.27209127200382,-10.441037109688907,-13.328473199074885,-11.50121053981654,3.1917602920961556,-10.52136808959657,1.827262659258345,16.52023349117104,2.8071051094783144,14.692970831912696,0.9798424502199694,-13.713128381692727
Abcb1b,-1.121114476076464,3.6873743979066163,-1.5633142595115785,-2.690295801112349,-1.6598972645308194,7.9875243606436825,-2.264313013068211,4.80848887398308,-0.44219978343511457,-1.5691813250358848,-0.5387827884543555,9.108638836720147,-1.143198536991747,-5.250688657418195,-6.377670199018965,-5.347271662437436,4.300149962737066,-5.951687410974827,-1.1269815416007702,-0.09658300501924089,9.550838620155261,-0.7009987535566324,1.0303985365815294,10.677820161756031,0.4259827880441378,9.647421625174502,-0.6044157485373916,-10.251837373711894
Ahr,-3.7924950231034322,-5.447933690477986,-8.041223374419255,-7.319884799905111,-10.545025452381845,2.165321219115119,-8.580564191864113,-1.655438667374554,-4.248728351315823,-3.527389776801679,-6.752530429278413,5.957816242218551,-4.788069168760681,-2.59328968394127,-1.871951109427125,-5.097091761903859,7.613254909593105,-3.1326305013861266,0.7213385745141446,-2.5038020779625896,10.206544593534375,-0.5393408174448572,-3.225140652476734,9.48520601902023,-1.2606793919590018,12.710346671496964,1.9644612605177325,-10.745885410979232
Ar,-5.961196402418605,-8.846014774184859,-5.704260383717812,-4.869700529976505,-13.124360985029982,-3.086451795694783,-8.49815661622671,-2.884818371766253,0.256936018700794,1.0914958724421002,-7.163164582611377,2.874744606723823,-2.5369602138081055,3.1417543904670473,3.9763142442083534,-4.2783462108451245,5.759562978490076,0.34785815795814773,0.8345598537413063,-7.420100601312171,2.617808588023029,-2.7938962325088994,-8.254660455053477,1.7832487342817227,-3.6284560862502055,10.0379091893352,4.626204368803272,-5.411704820531928
Blimp,0.10669655468176131,-0.6071080809678335,-2.0923845570722364,-1.250409004714669,1.4246371233228246,2.9588293118642497,-2.797787622521966,-0.7138046356495948,-2.1990811117539977,-1.3571055593964303,1.3179405686410632,2.8521327571824884,-2.9044841772037273,-1.4852764761044028,-0.6433009237468355,2.031745204290658,3.565937392832083,-2.1906795415541325,0.8419755523575674,3.517021680395061,5.051213868936486,-0.7054030654497296,2.6750461280374935,4.209238316578919,-1.547378617807297,1.5341921885414251,-4.2224247458447906,-5.756616934386216
Creb,-1.6259196992632283,-3.4037882133796487,-4.479847648354344,-3.3643371735247953,-8.662878000112109,1.5573602291463544,-4.417854756566449,-1.7778685141164203,-2.8539279490911156,-1.738417474261567,-7.03695830084888,3.1832799284095827,-2.7919350573032204,-1.0760594349746953,0.03945103985485332,-5.25908978673246,4.961148442526003,-1.0140665431868001,1.1155104748295486,-4.183030351757765,6.037207877500698,0.06199289178789513,-5.298540826587313,4.92169740267115,-1.0535175830416534,10.220238229258463,4.24502324354566,-5.975214985712803
Dmrta1,1.5867051188467172,-0.377016787032565,-1.8033707513014463,-2.3662177408603156,-0.23048737522250065,4.804351028515183,-1.1987400634441117,-1.9637219058792823,-3.3900758701481637,-3.9529228597070327,-1.817192494069218,3.217645909668465,-2.785445182290829,-1.4263539642688812,-1.9892009538277506,0.1465294118100644,5.181367815547747,-0.8217232764115465,-0.5628469895588694,1.5728833760789456,6.607721779816629,0.6046306878573346,2.135730365637815,7.170568769375498,1.1674776774162041,5.034838403737683,-0.9682526882216109,-6.003091091959294
Eomes,-2.5361701306721045,-1.9500711616845336,-3.7310572462473575,-2.054307163671956,-2.8451620546925027,-0.1755630777349097,-3.4347604560918654,0.5860989689875709,-1.1948871155752527,0.4818629670001485,-0.3089919240203983,2.360607052937195,-0.8985903254197609,-1.7809860845628236,-0.10423600198742236,-0.8950908930079692,1.774508083949624,-1.4846892944073318,1.6767500825754014,0.8858951915548545,3.5554941685124475,0.2962967901554919,-0.7908548910205468,1.8787440859370463,-1.3804532924199093,2.669598976957593,-0.5895984013993626,-3.259197378356956
Esr1,0.444823622442802,5.712881636296532,0.3393961559104639,-2.0225337154068086,-7.745232986877103,7.757130557389523,-0.8289671895871749,5.26805801385373,-0.1054274665323381,-2.4673573378496108,-8.190056609319905,7.312306934946721,-1.2737908120299768,-5.373485480386068,-7.735415351703341,-13.458114623173635,2.0442489210929913,-6.541848825883707,-2.3619298713172725,-8.084629142787568,7.417734401479059,-1.1683633454976388,-5.722699271470295,9.779664272796332,1.1935665258196337,15.502363544266627,6.916265797289928,-8.586097746976698
Esr2,-5.326316662613524,-9.16197327620128,-11.284606642508285,-4.4280366933646675,-10.331991547546053,-4.216343311855131,-7.007332398621493,-3.8356566135877563,-5.958289979894761,0.8982799692488564,-5.005674884932529,1.1099733507583924,-1.681015736007969,-2.1226333663070043,4.733936582836613,-1.170018271344773,4.945629964346149,2.154640877579787,6.8565699491436165,0.9526150949622311,7.068263330653153,4.277274243886791,-5.903954854181386,0.211693381509536,-2.5792957052568255,6.115648235690922,3.3246591489245603,-2.7909890867663614
