target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a,-0.013290381509094933,20.49643575559384,18.167781947849623,0.06363623798726575,2.057746312477135,13.997327225447828,1.3483156157275014,40.0743345774488,37.965223573443744,0.11780402728747952,3.130030376382493,12.455691664803181,2.5703345150258814,0.13694539256261318,-25.652258581248397,-5.987037357911139,-0.6484336921034206,-10.94092923705822,-34.526923676549394,-6.786766042799195,-0.8328052386133145,-24.266195192213107,2.374119126896472,8.363701511249232,1.8685868542622075,2.1280656521398296,-0.45849345079314924,-3.4835390292669564
Abcb1b,0.16496808301800117,2.862039516490762,0.395939367207086,-0.07445237141617726,1.3224803465964965,2.2397664508923336,0.33230382570970346,4.642896231537696,0.333569664278791,-0.344819114178894,1.4746723618338768,1.7594035750089816,0.2893287290417392,-2.7442024842539006,-4.06185636774462,-0.6378025056281293,-0.28901031153514256,-2.477837789334784,-0.7036235135471778,1.0207495796814727,1.459236918840608,-0.06979300521337005,1.8519866088005603,1.9624687462650163,0.5981730213859598,0.23432561906754504,-1.1378503748051552,-1.272621701434979
Ahr,-0.6027068568396609,-0.657871308917014,-1.5452763624878139,-1.6296298728319032,-1.2136260080573624,-0.05061522827304993,-1.5692815555602617,-0.15191302675749876,-1.0758033561627454,-1.4113120968713675,-0.6937313313010498,0.4857863950031394,-1.2688973451824945,-0.8840975762161979,-0.8234680963770111,-0.5655704609554487,0.7616920538809288,-0.7905907256519594,-0.07006640919441505,0.13330956507772082,2.0873756634415255,-0.014246708541617567,0.17955516432536037,1.5534839859693401,0.05590637676977797,1.2836261117786,-0.14471722413576682,-1.6731657335510441
Ar,-1.6816377926197132,-2.526351153418991,-0.5906125948353169,-0.614185867595097,-2.741771462976494,-2.4874872126956307,-1.5225617664118496,-0.621962574725912,0.6226973817970451,0.5948144228715818,-0.8669881789219854,-0.328195783303106,-0.1677888755321617,1.7284963309671986,1.1637303957256564,-0.2725913274652473,0.1257808897303226,0.34700964710686866,-0.0380803302747746,-2.1284699909614297,-1.1823156480307537,-1.1362452162833827,-1.5079951464697463,-0.7396033996104516,-0.7214923351255139,0.33934520632958054,0.7021863387782186,0.1812988760050149
Blimp,0.4544406348600253,0.4741854989243496,0.23708687800355807,0.20019919366521674,1.4963039103185072,0.12685903664505868,0.19127159444343597,0.12305257620598554,-0.1864328554231204,-0.24379911673306992,1.424699196591618,-0.2948132432939162,-0.2689635764459812,-0.3187110018393733,-0.295865939064884,1.447511117273673,-0.45443321916699453,-0.33347552057876234,-0.03453680510073095,1.7355523904530827,-0.16508358548254903,-0.06873913802772,1.4920070648455557,-0.09549112791791303,-0.01981197898919312,-1.5908711158543056,-1.7408279670376234,0.09223697420338565
Creb,0.03248408745029764,-0.104990213676325,-0.25522134599513663,-0.21490853417977904,-0.5379396538915808,-0.19620080556632752,-0.12948924993101937,-0.1893426337802296,-0.4131946524419211,-0.4094035981093002,-0.7671228804479376,-0.23666740825663435,-0.253980996654089,-0.21698717421091426,-0.1427912432059636,-0.6042534277509076,-0.090914150003813,-0.036091580977186045,0.037824651549591304,-0.3540063930527081,0.09950584326373581,0.1930757355757018,-0.326792794338094,0.0450085341192734,0.11252793576459205,0.3821241615829968,0.528726952032445,0.043722647256470897
Dmrta1,1.4519430473671329,0.8007306306333788,0.3633443277296276,-0.011343802991907438,3.144439956862135,0.7762835033581112,0.7168469168733079,-0.2605398816816907,-0.6952117134892553,-2.1632144864242044,1.0461306089598927,-0.23815576607905278,-0.2646843598209665,-0.36561150080647464,-1.0028112320612677,1.7196557605108325,-0.03010309110737332,0.01421185468118251,-0.5455484510319512,2.9595062060996837,0.27475164788982065,0.43503150116276684,4.5130499505469786,0.6577854363058678,1.1439623242802763,-1.3062754019670277,-1.8398445913485582,0.03756730639404075
Eomes,-0.20481588305628332,0.23254779642960532,-0.09177401978509404,0.04914143715533817,1.0887008320371838,-0.8218377951122102,0.07032551863204778,0.7336018814684956,0.0964192544093713,0.35616318583845763,2.331876308404373,-0.5177099539224955,0.4069986242452001,-0.5258485217764307,-0.1925424106043695,0.9735318729858958,-1.773959950133768,-0.1748082183304001,0.19728223164948527,2.13581805984934,-0.7883637518237567,0.29460758633099027,1.2061454549744373,-0.7737108841437256,0.023815795575787165,-3.3816569503950533,-1.4918213601290764,0.9638128347086032
Esr1,0.6956081933189612,7.133248053599631,1.0833420946289538,0.05512649622924926,-0.31723239963982786,2.4435004758864394,0.7806527535602525,7.899513523956749,0.47080642151538726,-0.7602069956992494,-1.398745499725517,0.9928728915531314,0.24692069204780356,-3.5850803484447686,-8.784523512468889,-16.256458856915806,-1.304873971975891,-3.879259411285655,-1.478653665982396,-2.7692139833124676,0.5464006146812411,-0.24792567494703582,-0.4559542428069726,1.7128143952153696,1.0040356933962966,3.08534952021104,2.1243456486312935,-0.6776838299460921
Esr2,-1.2952098293339942,-2.8177358243794544,-4.370367189311254,-0.48487869015318374,-1.1245825821699225,-3.7054024922407525,-0.8571367821383983,-1.1446703079861602,-2.4142458864186915,0.5110759850565044,-0.1278928303989505,-0.9593104488702294,0.10693724020514883,-0.6442215946336621,1.6003411418335445,0.7508197919357871,-0.09640581792837924,1.112452947524548,3.9784170477188154,1.782329248248736,0.4208330938655849,4.049882043862307,-0.5112828847848483,-1.3681635678585362,-0.32023042059655676,-0.7199793839517151,0.23449772512873704,1.0651652288370703
