name,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Abcb1a1,70647,90474,3317,3726,104418,47979,1278,44228
Abcb1a2,5943,10110,1753,1514,10339,7491,1504,5652
Abcb1b4,4891,3760,1741,3050,3446,2662,1027,4074
Abcb1b5,2675,5055,2188,7230,9358,8574,844,6830
Ahr1,2237,3059,4657,3999,7962,4840,1019,6191
Ahr2,300,817,668,2180,2231,1609,231,2264
Ahr3,126,278,540,756,230,3058,113,606
Ar1,95,182,226,338,383,761,301,232
Ar2,76,686,1858,356,420,4043,125,1489
Ar3,1285,2246,3042,2097,1046,3992,1530,3104
Blimp-1,4950,4863,5476,7019,6096,3907,3027,7905
Cd19-1,17668,29797,36425,30460,38886,50967,22460,31870
Cd19-2,662,694,1329,3180,1776,1854,691,2288
Cd19-3,2575,16113,18811,14511,12888,5658,2394,15904
Cd8a-1,2957,3831,3529,6887,4687,2509,1431,5692
Cd8a-2,199,2759,2635,2310,2947,6297,427,2330
Creb-2,951,896,1220,2272,1625,4931,613,1927
Creb-3,8601,16211,22930,17109,16326,37851,7710,20152
Dmrta1-1,490,1078,1182,1490,1602,4308,364,2375
Dmrta1-2,5718,3370,3388,1950,5849,8682,1103,5298
Dmrta1-3,352,607,779,2472,2211,1304,25,1863
Dmrta1-4,51792,57908,31180,49938,78884,7468,36495,65276
Dmrta1-5,4797,567,3232,3565,1616,648,6028,550
Eomes1,1410,3225,1760,2601,2056,3371,1366,2144
Eomes2,1635,1546,1865,3155,2030,2526,1595,1979
Eomes3,477,709,899,658,208,417,684,718
Eomes4,1148,2616,2449,4005,4421,3920,1203,4983
Eomes5,5597,6694,5324,7771,9565,5539,4699,8675
Esr1-1,253,396,275,581,721,2024,481,479
Esr1-2,520,172,42,180,338,1011,4,123
Esr1-3,435,641,168,445,714,1750,178,1404
Esr2-1,66,65,447,600,21,1238,185,70
Esr2-2,907,1838,1679,2769,1825,1171,1182,2152
Esr2-3,459,3637,5315,7162,5414,5220,1353,6802
Esrra1,153,501,704,442,407,1468,16,249
Esrra2,7,22,141,115,253,552,50,14
Esrra3,603,17,133,99,512,1143,67,396
Esrrb1,45,42,81,61,30,545,36,163
Esrrb2,11,416,1020,368,0,2688,4,405
Esrrb3,2878,1231,2568,1339,1238,2665,2725,2734
Esrrb4,2205,2394,3791,3733,3067,4537,1797,4663
Esrrb5,37,6,467,626,454,336,46,517
Esrrg1,320,139,199,142,34,1020,6,197
Esrrg2,50,170,460,707,301,351,137,746
Esrrg3,6597,38002,16982,13981,16364,20941,4348,19124
Esrrg4,302,401,3195,3273,575,6235,1165,3699
Hnf4a1,277,26,59,148,0,489,474,103
Hnf4a2,618,449,681,910,457,2302,703,1026
Hnf4a3,727,236,811,499,1247,620,438,723
Hnf4a4,31,538,856,523,877,1885,263,1646
Hnf4a5,42,760,143,3357,454,680,104,2135
Hnf4g1,1600,907,1309,1681,1149,1542,2559,981
Hnf4g2,17505,7646,8010,7438,5996,5994,1466,6375
Hnf4g3,138,345,908,416,417,1161,113,193
Hnf4g4,336,110,458,937,290,2215,3,1267
Ncoa1-1,996,2363,3381,2532,2118,9802,942,4452
Ncoa1-2,0,2,8,91,189,331,134,45
Ncoa1-3,0,621,582,1677,447,2973,108,898
Ncoa1-4,1862,2276,4156,4271,2338,9980,1090,4151
Ncoa1-5,2326,682,2026,2053,1306,960,2372,1706
Ncoa2-1,57,61,96,46,317,302,86,289
Ncoa2-2,88,446,46,381,392,1722,20,177
Ncoa2-3,34,623,1083,822,309,1764,72,426
Ncoa2-4,544,1230,633,769,1427,804,41,483
Ncoa2-5,45053,9461,14159,13865,11249,6122,161992,14850
Ncoa2-6,34,75,442,198,604,385,12,137
Ncoa3-1,1036,1391,1345,2531,2325,814,621,3115
Ncoa3-2,184,327,621,394,611,277,87,441
Ncoa3-3,519,688,1619,939,767,1906,461,734
Ncoa3-4,11,525,6,612,374,4938,0,1261
Ncoa3-5,3009,25580,13516,8396,19967,7368,1869,17566
Ncoa4-1,758,1642,1412,1454,1433,3539,412,1198
Ncoa4-2,3218,8352,8873,7139,9847,12371,2014,7502
Ncoa4-3,4404,4738,6178,4776,7181,9967,1317,4200
Ncoa4-4,1089,1979,4125,4329,2199,3106,761,3211
Ncoa4-5,18,220,88,325,513,1641,158,852
Ncoa5-1,648,441,610,939,1296,656,449,1362
Ncoa5-2,689,1085,2161,4175,1312,9195,421,2957
Ncoa5-3,819,1418,1922,1988,1481,4949,750,2835
Ncoa6-2,7660,4085,5049,8639,7485,4925,5187,7469
Ncoa6-3,317664,80307,160033,55063,34679,20412,350258,54539
Ncoa7-1,78,328,230,116,195,870,275,455
Ncoa7-2,35648,35783,73202,45469,40575,24520,23138,46534
