name,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Abcb1a1,642270,883129,34008,33138,1084997,500830,13024,449455
Abcb1a2,54035,98688,17975,13470,107435,78198,15329,57444
Abcb1b4,44472,36707,17848,27133,35807,27790,10470,41402
Abcb1b5,24325,49345,22434,64307,97245,89500,8608,69409
Ahr1,20344,29860,47745,35569,82736,50532,10387,62918
Ahr2,2732,7976,6848,19392,23185,16803,2364,23015
Ahr3,1147,2717,5539,6730,2395,31921,1157,6159
Ar1,872,1782,2317,3014,3981,7944,3072,2361
Ar2,691,6699,19049,3171,4368,42209,1284,15133
Ar3,11683,21927,31194,18658,10870,41672,15600,31551
Blimp-1,45005,47474,56143,62422,63346,40793,30856,80337
Cd19-1,160629,290861,373402,270894,404064,532017,228889,323872
Cd19-2,6019,6781,13630,28284,18458,19357,7051,23251
Cd19-3,23410,157286,192842,129052,133924,59062,24404,161621
Cd8a-1,26884,37399,36180,61250,48708,26194,14589,57846
Cd8a-2,1811,26939,27018,20549,30624,65734,4358,23679
Creb-2,8654,8755,12513,20209,16886,51481,6255,19590
Creb-3,78199,158242,235061,152163,169644,395108,78573,204793
Dmrta1-1,4461,10532,12119,13251,16656,44971,3713,24140
Dmrta1-2,51987,32898,34733,17350,60783,90629,11250,53843
Dmrta1-3,3205,5925,7986,21990,22982,13617,256,18939
Dmrta1-4,470862,565250,319636,444121,819684,77964,371922,663344
Dmrta1-5,43614,5539,33141,31711,16798,6765,61433,5595
Eomes1,12824,31487,18049,23137,21373,35196,13921,21788
Eomes2,14865,15099,19124,28067,21096,26376,16260,20113
Eomes3,4340,6923,9217,5855,2169,4355,6976,7305
Eomes4,10440,25544,25110,35624,45948,40927,12269,50642
Eomes5,50891,65343,54578,69113,99399,57821,47890,88159
Esr1-1,2301,3875,2821,5170,7500,21128,4908,4877
Esr1-2,4732,1679,436,1606,3517,10555,48,1250
Esr1-3,3961,6266,1724,3958,7426,18277,1822,14269
Esr2-1,605,640,4588,5339,219,12928,1889,715
Esr2-2,8249,17946,17212,24633,18971,12226,12054,21873
Esr2-3,4180,35506,54492,63702,56259,54496,13793,69130
Esrra1,1399,4894,7217,3931,4237,15327,171,2531
Esrra2,64,215,1446,1026,2632,5763,518,146
Esrra3,5487,171,1370,889,5321,11933,685,4030
Esrrb1,411,414,835,549,320,5690,372,1661
Esrrb2,107,4069,10463,3276,1,28061,44,4122
Esrrb3,26171,12018,26332,11913,12868,27820,27773,27789
Esrrb4,20048,23374,38865,33201,31873,47368,18314,47387
Esrrb5,337,68,4791,5571,4721,3515,476,5257
Esrrg1,2910,1365,2046,1270,360,10657,67,2006
Esrrg2,459,1664,4720,6296,3136,3664,1399,7585
Esrrg3,59984,370944,174092,124344,170043,218599,44317,194346
Esrrg4,2749,3921,32756,29116,5982,65085,11877,37590
Hnf4a1,2526,255,610,1318,2,5112,4839,1053
Hnf4a2,5625,4385,6985,8101,4759,24038,7173,10429
Hnf4a3,6618,2313,8319,4439,12966,6473,4469,7352
Hnf4a4,287,5255,8778,4655,9118,19680,2689,16735
Hnf4a5,385,7428,1469,29856,4718,7103,1062,21698
Hnf4g1,14554,8862,13425,14958,11943,16105,26086,9972
Hnf4g2,159144,74642,82112,66156,62304,62577,14946,64785
Hnf4g3,1258,3377,9314,3705,4343,12124,1153,1971
Hnf4g4,3063,1082,4699,8335,3023,23130,31,12877
Ncoa1-1,9058,23070,34666,22526,22013,102321,9609,45245
Ncoa1-2,1,29,85,813,1974,3465,1375,461
Ncoa1-3,3,6065,5970,14917,4648,31034,1101,9128
Ncoa1-4,16931,22219,42607,37990,24302,104176,11110,42189
Ncoa1-5,21152,6661,20778,18262,13579,10029,24181,17344
Ncoa2-1,527,596,990,410,3300,3155,884,2937
Ncoa2-2,806,4361,479,3397,4076,17978,204,1806
Ncoa2-3,313,6083,11105,7318,3221,18420,734,4336
Ncoa2-4,4950,12010,6491,6843,14835,8397,424,4913
Ncoa2-5,409590,92358,145154,123312,116892,63904,1650833,150916
Ncoa2-6,310,735,4532,1766,6282,4025,128,1396
Ncoa3-1,9427,13586,13797,22516,24166,8502,6333,31663
Ncoa3-2,1681,3196,6371,3512,6359,2895,896,4482
Ncoa3-3,4727,6718,16605,8351,7980,19897,4708,7469
Ncoa3-4,107,5134,68,5450,3889,51547,2,12818
Ncoa3-5,27360,249693,138560,74676,207478,76919,19056,178511
Ncoa4-1,6897,16033,14484,12939,14896,36943,4208,12176
Ncoa4-2,29261,81530,90964,63491,102328,129135,20533,76242
Ncoa4-3,40042,46249,63335,42475,74623,104042,13423,42690
Ncoa4-4,9902,19318,42291,38502,22858,32429,7761,32634
Ncoa4-5,172,2148,910,2896,5337,17138,1617,8668
Ncoa5-1,5892,4314,6261,8356,13468,6851,4576,13845
Ncoa5-2,6269,10592,22154,37135,13642,95981,4294,30050
Ncoa5-3,7446,13845,19711,17683,15395,51669,7645,28815
Ncoa6-2,69641,39878,51762,76830,77782,51419,52866,75906
Ncoa6-3,2887972,783893,1640525,489697,360349,213069,3569407,554229
Ncoa7-1,718,3211,2363,1036,2035,9085,2807,4627
Ncoa7-2,324090,349286,750404,404372,421618,255951,235801,472881
Ncoa7-3,8377,8625,11522,12716,8705,21743,7129,9208
Non-targeting-negative-control-#2-(RFP)-1,19617,12876,52493,21719,58263,70367,23952,57019
Non-targeting-negative-control-#4-(EGFP_881)-1,22997,10529,17606,34709,36697,13778,25734,36058
Non-targeting-negative-control-#5-(EGFP_1212)-2,55134,119144,139308,123798,191869,89967,75919,146810
Nr0b1-1,8392,21526,48810,15136,16347,5693,9971,21491
Nr0b1-2,10892,15206,23109,11849,17513,20049,10329,16019
Nr0b1-3,0,1582,47,260,670,5419,3,1686
Nr0b1-4,1288,354,596,362,1574,3670,53,444
Nr0b2-1,17560,5091,5930,12027,17765,22307,4291,10864
Nr0b2-2,8373,41183,121906,30504,27016,53102,7033,85522
Nr0b2-3,1896,8933,6867,2111,13182,25014,188,2927
Nr1d1-1,38,1630,6258,423,671,391,441,2219
Nr1d1-2,5333,14814,37925,49393,25962,123808,12775,31587
Nr1d1-3,0,1,176,880,178,6352,12,4311
Nr1d2-4,3414,3131,5297,2288,6033,11537,1840,6159
Nr1d2-5,14165,15314,29404,41332,28606,15585,4231,40181
Nr1d2-6,3891,8395,2543,22291,18639,11688,1869,16402
Nr1h2-1,356,1,18,30,1,190,5,745
Nr1h2-2,11512,8615,21114,22811,10260,14806,12071,21911
Nr1h2-3,2693,11273,4153,1818,1797,6975,1817,9392
Nr1h3-4,71659,65305,96526,90465,78369,108519,44455,115989
Nr1h3-5,567,1843,6961,2348,4562,4810,2315,2329
Nr1h3-6,23449,9004,7398,32947,36667,48026,3495,20234
Nr1h4-1,57721,18517,24141,17375,24105,26969,42398,16705
