target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a,1.3305195530747367,3.963379157208081,3.1837274783429375,1.2918408614005017,1.2301176637355198,6.33674824122204,0.5278158419362882,2.6328596041333436,1.8532079252682008,0.03867869167423521,0.10040188933921712,5.006228688147303,0.8027037111384486,0.779651678865143,2.6715382958075793,2.7332614934725608,2.3733690840139583,3.4355633152717924,1.891886616942436,1.9536098146074181,3.153020762879102,2.6559116364066497,0.0617231976649819,5.044907379821538,0.7640250194642134,5.10663057748652,0.7023018217992316,5.808932399285751
Abcb1b,2.7044726403170993,2.489348705401589,4.404583428932347,4.798298709538095,5.316197320931487,1.2550179736555762,3.3647750960151863,0.21512393491551052,1.7001107886152482,2.093826069220995,2.611724680614387,1.4494546666615233,0.660302455698087,1.9152347235307585,2.308950004136505,2.826848615529897,1.234330731746013,0.8754263906135974,0.39371528060574684,0.9116138919991386,3.149565455276772,1.0398083329171612,0.5178986113933916,3.5432807358825187,1.4335236135229081,4.0611793472759095,1.9514222249162998,2.10975712235961
Ahr,1.0475385611660684,1.076375617015876,2.3322374101773793,2.3898559745147616,3.7966258279137115,1.2376268605399587,1.535981912177285,1.424648719344705,1.320847537208294,2.2577621069790488,3.436376878505793,0.7029887524276881,0.566688141521492,2.264444481884777,3.391768018236951,2.8273928995278115,0.9826981057150886,1.9836705170249833,3.0759164228911273,2.95054457742706,1.2920595450275458,1.1258170643467067,5.686092303826613,2.9552742604766764,2.018180316295534,2.761093668859651,3.715691547011781,1.1517798279839981
Ar,2.7080134643094746,4.137200347093985,1.467620086751718,3.0616096191135425,4.479714607295275,1.4305821668601022,3.661534794750608,1.4378050160025961,1.966169596888633,2.5425189825421843,2.0166574698586017,3.3547341561906796,0.9678574806265162,3.330868881794803,3.4343164948745755,1.432149002289332,4.750011701138965,0.47619119382715647,1.6140506744791656,3.275935545271502,1.4276860384034038,2.893244853490668,2.690161401202062,2.4585951769944785,3.1431952771901877,4.657230976283083,1.5625103685546915,4.303461281334478
Blimp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Creb,1.9648787190237513,1.9737008089196237,0.6006886883407744,0.2644648229672199,1.067894719676552,0.9120855110528368,0.31408623191328644,0.00882208989587241,2.565567407364526,1.7004138960565311,3.032773438700303,1.0527932079709146,1.6507924871104647,2.5743894972603982,1.7092359859524038,3.0415955285961753,1.061615297866787,1.6596145770063373,0.8651535113079944,0.46720603133577754,1.512774199393611,0.9147749202540608,1.3323595426437718,0.6476206880856168,0.04962140894606648,1.9799802307293886,1.3819809515898382,0.5979992791395503
Dmrta1,3.0112385096428387,1.759790096398445,3.0878540493768805,2.9053609055402583,4.7265336181243045,2.73143477231762,4.01937576874846,2.117721812945905,2.614173053372056,1.218929573598567,3.15751876344915,4.8455258072987135,1.254654672771422,1.5985055935617796,1.6807208879820976,3.4985167677937112,3.609228563189513,2.8077777408739384,1.8159883098783984,3.930587511914046,4.6633499592244885,2.8518119601280896,2.887740388495066,5.074077596483036,1.3750319284156103,6.592064787553697,2.5045407161982673,5.962602616706295
Eomes,1.034400544358238,0.8832928187335155,1.01188067710382,1.98459854833791,1.5214839044770454,0.5018144558925401,1.3456539155928144,0.9037412733072449,0.9990718553909653,1.8216876216554454,1.0893207481600495,1.0846766754083863,1.0340950520133871,0.900618383325946,2.1035639620222524,1.4210713473607348,0.6203303494856265,0.9676994249097968,1.3174065539598756,0.7289968009431814,1.1748222772473271,0.7421787223965002,1.2600130407465588,2.328685584021273,1.3359111925795748,1.700465990365075,1.1367004730086843,1.4195680735026666
Esr1,2.696484301029318,3.778661562129578,2.915931755076256,2.3343270070458626,2.281128810554269,7.501264114543878,4.271116060754333,1.668490840859716,1.1839877369739293,0.9348286157298897,1.2199224105712156,4.979117210109733,1.777497021126508,0.8646700513573602,1.453638839138574,1.5100865310328397,3.7675979883047326,2.5903719668312664,0.6117683564597353,0.6471345081642639,4.623314029789625,2.6629474341887174,0.2851861013712157,5.171838180672847,2.6662996599874202,5.270128748082162,2.9449169700553983,4.4031893275844025
Esr2,3.526440361679393,3.093668788629583,2.7405856105393624,5.623587920804607,4.449631674651981,1.3829602111930748,4.565855591219407,3.069873026483593,2.7465782670652583,2.1905024306274457,5.414500112248116,3.2545171157266166,1.0535845008628022,0.4262537787098791,5.0359998955390655,2.3449067084208126,1.7695914275886158,3.6264879602958975,4.786081966780967,2.688836947558308,1.4780709686045943,3.389750582914867,7.3402068798139295,5.444405739892268,1.412838953447796,3.156308242466701,5.92752335217513,4.171370344387638
