target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a,-0.01323054777405582,2.944355214556616,2.935642339855375,0.06256365298076542,1.1952476233512555,2.7223794272812976,0.9041591445810193,4.08290907683637,4.074371345017657,0.11617626039070031,1.51576494139167,2.795715146591519,1.425728805795004,0.1330619858440285,-3.326415404412759,-2.178760053040167,-0.5345218308353799,-2.438904400051699,-3.782887897121137,-2.29068963522217,-0.6648194952803689,-3.3258362760166684,1.307519281034007,2.3294411314303325,1.1061738847407308,1.359993252356269,-0.3911516952594152,-1.7056576859928743
Abcb1b,0.15566552701146805,1.3688542651372637,0.34443133255523783,-0.07308389733239128,0.8997691978532679,1.2540271209526324,0.29694842070700483,1.7087427983777481,0.30011705296361213,-0.30944550137148497,0.9747753722365337,1.1367008408739077,0.2685737140220178,-1.410674153166388,-1.675369872835599,-0.5383071056892137,-0.2622511481059368,-1.2941613259236606,-0.5555114308265167,0.7733534857480718,1.0413935519550581,-0.06762071012617288,1.1271176237852802,1.1784180899867045,0.4904073487635917,0.22548327748473407,-0.8048157613892325,-0.9233262602170005
Ahr,-0.4993186772836264,-0.5292718960973025,-0.9554102763062277,-0.9549664639385924,-0.8400707955880202,-0.05027104965972764,-0.9429527780036521,-0.1466130532690766,-0.7560758607626286,-0.904365884459694,-0.5547290574288284,0.4150392887427433,-0.8466022304930779,-0.6411547909786104,-0.5925989442012096,-0.4707346903923463,0.6151903384218492,-0.5753276218464713,-0.06661835017812116,0.12661399174744428,1.2173269229898378,-0.01398561904501446,0.16370830424640584,0.9434593014790288,0.054230627141567435,0.9141930442423413,-0.1340588672247239,-1.0349924866353917
Ar,-1.0310531577436588,-1.235322150842556,-0.4864809227448418,-0.4882350125751483,-1.3451429815291895,-1.2267806576514446,-0.9267758957164702,-0.4994847112270356,0.4941054249881982,0.4988908614760505,-0.6558060230217473,-0.29110464512562423,-0.15785829177411007,1.019577188790028,0.8127997462062388,-0.24959536512837172,0.12425925423296104,0.31216512315104666,-0.036670561635588315,-1.194231483051587,-0.8188172659402357,-0.7620050973517818,-0.9749220867194083,-0.5739154200791045,-0.5580846831163817,0.31328581759512897,0.5609462007812712,0.17065508736187118
Blimp,0.4567071857526468,0.47655052855288665,0.23826936353356207,0.20119769957841213,1.5037668190097824,0.1274917539698057,0.1922255734010009,0.12366630857286545,-0.1873627008692773,-0.24501507997064853,1.431804972325662,-0.296283642656311,-0.2703050489893951,-0.32030059275685324,-0.29734158881282163,1.4547306688790147,-0.45669973307338646,-0.3351387504505101,-0.03470905956132395,1.7442085657992519,-0.16590695011882958,-0.06908197874816471,1.4994485427531483,-0.09596739584955706,-0.019910792464965122,-1.5988056843569571,-1.7495104546496851,0.09269701184125619
Creb,0.03189452486017758,-0.10454117328970675,-0.2407932183306682,-0.20148089664633906,-0.47151838511294697,-0.1864673292714614,-0.12579901501893356,-0.18175437116216617,-0.36906226697987093,-0.36086088293565255,-0.6247405407773261,-0.220437994605983,-0.23586978810649326,-0.20180109771321358,-0.13326922589884302,-0.5144895955131968,-0.0871925556369633,-0.035113207509215684,0.03764276399256339,-0.32453865003431903,0.09864645764233707,0.1855257012193311,-0.30568769050971445,0.0443952895580737,0.10780339336004578,0.3542831611995563,0.4614163802446424,0.04328882143720224
Dmrta1,0.8195840633387897,0.5243586922475688,0.29626217627799234,-0.0113508165707192,1.1796688728899876,0.5409281354116993,0.5061239490628039,-0.23510029370683805,-0.5178265872342136,-1.0336464543961974,0.660096788442968,-0.21256684139695298,-0.23388416139216012,-0.3032380386659081,-0.6207752952740422,0.9455427437818309,-0.028869738483289675,0.013932564656673307,-0.40629405411598785,1.2218834324813037,0.2517218269872122,0.365562811158306,1.3773531257949403,0.48744897548732824,0.6821605129598692,-0.811672730756468,-0.8998168590613516,0.0369881798862282
Eomes,-0.19128582853018136,0.19751085825192619,-0.09054274341509963,0.04806450095189899,0.6676767574132102,-0.5746792559311257,0.0671856790819149,0.4967806023221752,0.09126980217297082,0.31367919960131074,1.0313380402694694,-0.40886224459252435,0.34341346032147735,-0.40593104251803114,-0.16779870912554432,0.6642059950314352,-0.9311412074634129,-0.15511770061900895,0.18609440849963843,1.037312615542626,-0.5672255589194033,0.26326336898794217,0.7148050007678787,-0.555101730614062,0.023256678796544337,-1.343505364369049,-0.8009468187691585,0.6571713069883401
Esr1,0.5396110942484149,1.7897123513408713,0.7262246124096903,0.05411697129285245,-0.2918298696460285,1.202413975756546,0.5787115990101422,1.8406539758220763,0.3935608635928635,-0.5823190134544012,-0.9085739167996864,0.7252706097213362,0.22861801233187193,-1.4462331843213099,-2.001650084848123,-2.7290076686906133,-0.859703144100849,-1.4446470839228773,-0.8821635556899101,-1.372768142840211,0.4690574269290418,-0.22268357347692186,-0.4017127018201638,1.001470985303782,0.688907180136269,1.5419881290542397,1.158901838907614,-0.5468307693292451
Esr2,-0.8753897493003729,-1.3009717263948464,-1.6062197351245282,-0.40410321644595487,-0.7983555946639557,-1.4799005508765133,-0.6341221233837541,-0.7724059784667636,-1.2304258742944199,0.44019022669796765,-0.12474325055299691,-0.6953062545589643,0.10402444369625545,-0.5048639468221927,0.9948642351011713,0.5899494022922426,-0.0913024636480879,0.7728781759420852,1.5561915413995602,1.0552380287526073,0.37529036354133705,1.584077511853666,-0.4427470595935105,-0.8835300125348522,-0.28676814986930627,-0.568648733754787,0.22110103644558407,0.7629971562092168
