target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a,-0.011427237370326075,1.477101021804451,1.6426847120196213,0.05483314413709203,1.0733131297518177,1.0806200432015036,1.2329006561992688,2.5114969912382143,2.9849011092060427,0.5265600960553493,4.56187735381422,1.248257705306123,1.5815058504208803,0.14973944500700487,-2.0313487040007216,-1.31545440710062,-0.3462340664593636,-1.3139071009854284,-2.7430338077578367,-1.6347022247883432,-0.3738115576334942,-2.0369388471969967,4.882230505581227,1.036084408747971,1.2573202252344935,0.6012356481864526,-0.4634609945663449,-0.7070827131226608
Abcb1b,0.09448213795039938,0.865852244858556,0.1639297541360296,-0.03332928361215387,0.3898724038378615,1.114958187579037,0.16164363272429547,3.601354403060102,0.22949781220116167,-0.21334342221779726,0.6020201213264308,0.9409160494911024,0.3280409792805339,-1.0166813715179894,-1.100183199678822,-0.3196038719791037,-0.23509829773405383,-1.3753466891921735,-0.8742897886307227,0.8055704761795297,0.585869926791814,-0.06599707977594846,1.5512935283776585,0.625150582367722,0.40817370465382796,0.11175172135501411,-0.5746599450016432,-0.6341794074587606
Ahr,-0.4855452449529799,-0.507795478039825,-0.6242728557057107,-0.6164466987882409,-0.43057200767965365,-0.04500653674775745,-0.7583815171982843,-0.12240519516573599,-0.6553921268285207,-0.6005448180701783,-0.2988130300367572,0.491527556560676,-1.1148306437461695,-0.42513339571824177,-0.32129837308964315,-0.27945794790523154,0.6174487413479409,-0.4074633317989067,-0.037922922036461804,0.07358611902900183,1.0668216100777446,-0.013122829907011888,0.06859337954835316,0.5478866729886896,0.03807950944787997,0.5491769610556493,-0.06945317390472941,-0.9602300244230223
Ar,-0.6253962240524596,-0.6066004397620567,-0.40020676081446754,-0.2785774194601204,-0.6348323976930149,-1.0221106248469207,-0.4836719543835814,-0.4151137901363479,0.3514855824904253,0.31226338157668143,-0.4606650074607485,-0.15869884174186355,-0.15963555174846283,0.5578152647683747,0.4379575661175768,-0.20784110826656627,0.05695406579576171,0.44769354787764465,-0.02877516174257213,-0.6588081998216406,-0.6828966215747836,-0.4472146728844353,-0.5933009544779942,-0.36527752838138083,-0.314285735098718,0.14501438589390117,0.44732631994058863,0.08216867567434508
Blimp,0.04566843521058684,0.04765267028133746,0.023825745095882107,0.020118764044786172,0.15036916363074876,0.012748537986016144,0.01922159628431167,0.012366012572114683,-0.018735333343678544,-0.024500283013538,0.1431733387445867,-0.029626882958514927,-0.027029153475050513,-0.032028457892824255,-0.029732672284831903,0.14546579378003563,-0.04566768997992141,-0.03351219947696532,-0.0034707324238494016,0.1744121361911199,-0.016589865539342285,-0.0069078524908263135,0.14993735759484741,-0.009596259783961234,-0.0019909797000001125,-0.1598725750067761,-0.17494229856870702,0.009269237733824895
Creb,0.022695822265755936,-0.07422484250667484,-0.30813023380917004,-0.38458339559015775,-0.45416164984246155,-0.19418565827443282,-0.22097693727657242,-1.324801901261029,-0.22996576359289947,-0.27592382338110655,-0.3581499385023192,-0.21382676538479234,-0.18302677658706745,-0.1255291362670288,-0.10163940842043233,-0.2945188605234255,-0.0842286722636581,-0.027174551757827885,0.040238277837669874,-0.46980048772960875,0.07993992557161624,0.19292391218025542,-0.26384175285485933,0.05474559236193897,0.44150061619426073,0.2511459217087261,0.3910896851553105,0.055516775013380024
Dmrta1,0.4715209561606821,0.39415550034221,0.1683238795839629,-0.0066478458837179915,0.5420380922610307,0.32670111189212403,0.2521378253459117,-0.16117428368604225,-0.31965986319450546,-0.932413432780073,0.37089247468624237,-0.09646669194809028,-0.20797677327533642,-0.239096044405315,-0.47741764490054195,0.5048000484609476,-0.015175214708734711,0.008299992503351075,-0.30067095035951064,0.6155300896639014,0.11644121360203231,0.2160933793397417,0.8091248918090616,0.21618376529595298,0.5796377794204095,-0.3158937726671653,-0.5674463277069067,0.01513495559087993
Eomes,-0.1871756076149518,0.2089748657136152,-0.08956814003702328,0.03403272215431193,0.539523094784621,-0.8032842405629308,0.05770351843269004,0.5197003491279872,0.09085860458778479,0.23177149166896602,0.9836459866823853,-0.3907815725809756,0.33608358007425326,-0.4253868470331258,-0.11541995957130384,0.5552290081756627,-1.1728202003859582,-0.15687678431226806,0.16152187427868525,1.206669624918851,-0.5211097345961739,0.3035497731820497,0.6342836138943225,-0.3629833145183403,0.020046543115768933,-1.0272642705815658,-0.7479605373571128,0.5496372689510594
Esr1,0.32800322507192303,0.919475855036012,0.4245597973106029,0.035344707141421905,-0.19279909362026568,0.4387301684726563,0.2796943452668714,1.4207336452442318,0.3601736787616275,-0.5990794901809207,-0.8192593518192176,0.3247044385936712,0.17099672047642353,-1.5463798929211376,-1.6545168580846847,-2.2134545082419543,-0.4423241440902159,-0.8958680071344965,-1.1187545230638223,-1.6934409411280384,0.217911499292554,-0.1362049756559056,-0.739379851068161,0.43994303658231904,0.4211078543072056,0.6710560160423884,0.6741771221779737,-0.26030149597343594
Esr2,-0.465498501739993,-0.7384654376264697,-0.96848383056805,-0.17025495841819577,-0.3780479412620825,-1.2539007905240869,-0.296439962820461,-0.4401282251081549,-0.7410888706916037,0.29674230759006426,-0.053559584031882435,-0.38482799769938186,0.10086706916658696,-0.76437197778538,0.4428842131226507,0.3844394188147951,-0.06844194515151236,0.40529380649058544,0.7105910808351289,0.6423357744390237,0.3076490590012839,0.8591181618251066,-0.16330741489614164,-0.37830979515273017,-0.24041028382859053,-0.3195710875777151,0.09073777237114458,0.3731329501899333
