,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Abcb1a1,99.50465740887863,99.29775146069734,77.93951653788605,83.58497689390383,98.8183068132403,84.28429759286131,97.46157731886453,97.73911794728527
Abcb1a2,90.36264180973566,90.23309324490285,78.88731569838616,79.78603788637602,87.09260949129633,78.92605522760321,86.79151168079314,88.47365595281234
Abcb1b4,83.81432551344462,84.33897025762973,76.6797860875711,79.74560531856216,85.92232842187036,83.08105925244959,84.82186633892339,82.2660283654697
Abcb1b5,89.7837544758053,86.12074708154842,75.56265357816675,81.09713427264982,82.29515996515485,88.26305765359878,87.92424807423825,89.27125455061716
Ahr1,88.83473584867619,83.09873803530094,76.63502024901592,85.62725017041012,81.22876799103295,84.70997770223255,87.33746214147291,85.8592500469911
Ahr2,81.21279968414322,75.37884789180079,68.53792464187762,74.24888223420271,69.90402561748292,81.0753737892851,81.3001181882813,79.28240044334619
Ahr3,68.51546924169541,69.50324951700806,64.93444182656059,73.07101904162062,65.47055676628362,74.94166900653961,73.70746262063761,83.09677624160774
Ar1,71.20422889692766,67.31461605211935,69.92158757574924,68.42473411792949,64.0896140325652,70.53605574408842,68.56029020653311,74.97872506180309
Ar2,71.70101082477022,74.3972702848532,65.43117287697665,80.12894867437394,63.020145050107466,70.81270520549886,78.8287448359897,84.7758699035455
Ar3,76.78480220872119,81.25264321077282,78.98753527484801,83.0653018707407,77.9711812578169,80.84496054205572,83.18637514664688,84.69942833023092
Blimp-1,87.2448855128902,85.88777995349378,83.03564719631129,86.60158458914337,85.99447650817554,88.08686106524777,88.7922641306975,84.56983938485271
Cd19-1,96.9888642187931,95.88925165027221,94.56546131478275,96.73352403810375,93.33916470901691,95.98594708045223,96.18162985487872,97.93401443431986
Cd19-2,79.86280003414801,74.46205460353683,74.43784276660078,78.16655429440816,74.19858758506234,83.33159620247896,81.36285502668298,80.11622890098447
Cd19-3,91.61851139762932,92.8478881313844,81.63255377445499,93.66733812446128,82.06743945127195,92.27769580545151,92.7774563679374,86.79787921908225
Cd8a-1,85.66590643736474,84.45157619204288,78.59686832237706,83.95745997252419,82.89533099943412,87.97378175311773,86.83383162798177,81.91239472826285
Cd8a-2,82.87502131462459,82.4801411223722,71.7903919075228,82.20508006872211,67.77025942902306,81.41980851629661,81.47113191864791,87.43903825318094
Creb-2,79.34043746596593,75.90160609564784,73.77111937520917,77.67065251986838,76.24056511540836,81.32110145210348,80.34433364006152,85.97133783519702
Creb-3,92.91853676065304,92.880533182448,88.64446004606751,94.6672237864603,89.28973476416103,93.1688937241746,94.02167575264076,96.88471804459658
Dmrta1-1,79.25683617739917,76.95767412387606,70.93151123677214,77.48786640109164,72.53854921215714,78.83266696951623,81.5850711740517,85.15819391818161
Dmrta1-2,86.99703678080412,83.68025023439102,77.0893960808171,83.71227207158586,86.86117629482295,80.41448912859656,86.40304455569876,89.34480223896422
Dmrta1-3,81.15927146604974,73.71659836455716,57.98031191902808,75.11026398318938,70.75236903470562,81.82373786470248,80.14481158659034,78.05631219983226
Dmrta1-4,99.05192367728017,98.31407664665647,96.74116408548309,96.08751010935846,97.98420175488772,97.86928596315656,98.63064405186705,88.45541138119542
Dmrta1-5,79.30785898722704,73.33971342074436,87.17769991978234,83.42900975439615,85.80554208788523,84.01851221499408,73.17196733347137,74.07955552239765
Eomes1,80.72788611265317,83.41598636625554,78.32615864020079,79.8095016401298,78.51070685756372,82.12746186438108,80.9764904695885,83.68203363710468
Eomes2,80.65247594133437,79.0484068355196,79.23116529919237,80.15114534455621,79.37643474283277,83.28420514160754,80.50182383055025,81.95270513855243
Eomes3,67.99709237221188,74.58166369866693,74.38096377765041,75.92059263260201,72.39181494183151,74.1648204537378,74.65229724071885,71.66227966865405
Eomes4,85.31411774023442,82.16182587760436,77.5895547780818,81.76797696036455,77.31955207708197,84.71900539893164,86.0344517596435,84.58983944181561
Eomes5,89.91128992445233,87.8042941478405,85.68129916607558,86.4324655032965,86.73281765321643,88.69111964510512,89.34006525248462,86.67027865986213
Esr1-1,74.67565765168719,71.3836700801689,72.43735674590789,69.44633484278472,69.0104514225232,73.47436928656688,72.41463012858199,80.63494191595227
Esr1-2,70.53605574408842,67.02784376160271,50.854673217499844,60.27134071779826,72.86378106919942,67.25844704765714,65.35152559520536,76.58992218713405
Esr1-3,74.62100747675059,74.01913501720576,67.20169809072947,66.90879925683319,71.89088723458315,72.01411492435035,78.48586557127994,79.77595458385076
Esr2-1,57.23490364285322,62.28225249510471,67.39780864880915,72.03845079916769,62.35389310130215,73.65235064692743,62.630836897377584,77.75536434393668
Esr2-2,80.02321744747334,80.06508581337339,77.48786640109164,79.53236975134934,75.9709338445113,82.50179667149892,80.99860191356747,77.43391780182866
Esr2-3,86.5331876439748,84.13881033356984,78.27055353987197,86.42229793229417,72.18237170839392,88.20687126330586,87.89975703912678,86.31389115108018
Esrra1,71.53127684039575,72.65990284348275,56.097922900693675,74.5420593516445,66.43773748534976,71.97741953515713,68.92744445879818,78.7457965434892
Esrra2,69.0104514225232,57.432553146159414,61.06525778493228,66.0290976512502,52.84905993553184,65.02050938103349,55.551393920908055,73.19195132980023
