name,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Abcb1a1,104418,90474,1278,3317,70647,3726,44228,47979
Abcb1a2,10339,10110,1504,1753,5943,1514,5652,7491
Abcb1b4,3446,3760,1027,1741,4891,3050,4074,2662
Abcb1b5,9358,5055,844,2188,2675,7230,6830,8574
Ahr1,7962,3059,1019,4657,2237,3999,6191,4840
Ahr2,2231,817,231,668,300,2180,2264,1609
Ahr3,230,278,113,540,126,756,606,3058
Ar1,383,182,301,226,95,338,232,761
Ar2,420,686,125,1858,76,356,1489,4043
Ar3,1046,2246,1530,3042,1285,2097,3104,3992
Blimp-1,6096,4863,3027,5476,4950,7019,7905,3907
Cd19-1,38886,29797,22460,36425,17668,30460,31870,50967
Cd19-2,1776,694,691,1329,662,3180,2288,1854
Cd19-3,12888,16113,2394,18811,2575,14511,15904,5658
Cd8a-1,4687,3831,1431,3529,2957,6887,5692,2509
Cd8a-2,2947,2759,427,2635,199,2310,2330,6297
Creb-2,1625,896,613,1220,951,2272,1927,4931
Creb-3,16326,16211,7710,22930,8601,17109,20152,37851
Dmrta1-1,1602,1078,364,1182,490,1490,2375,4308
Dmrta1-2,5849,3370,1103,3388,5718,1950,5298,8682
Dmrta1-3,2211,607,25,779,352,2472,1863,1304
Dmrta1-4,78884,57908,36495,31180,51792,49938,65276,7468
Dmrta1-5,1616,567,6028,3232,4797,3565,550,648
Eomes1,2056,3225,1366,1760,1410,2601,2144,3371
Eomes2,2030,1546,1595,1865,1635,3155,1979,2526
Eomes3,208,709,684,899,477,658,718,417
Eomes4,4421,2616,1203,2449,1148,4005,4983,3920
Eomes5,9565,6694,4699,5324,5597,7771,8675,5539
Esr1-1,721,396,481,275,253,581,479,2024
Esr1-2,338,172,4,42,520,180,123,1011
Esr1-3,714,641,178,168,435,445,1404,1750
Esr2-1,21,65,185,447,66,600,70,1238
Esr2-2,1825,1838,1182,1679,907,2769,2152,1171
Esr2-3,5414,3637,1353,5315,459,7162,6802,5220
Esrra1,407,501,16,704,153,442,249,1468
Esrra2,253,22,50,141,7,115,14,552
Esrra3,512,17,67,133,603,99,396,1143
Esrrb1,30,42,36,81,45,61,163,545
Esrrb2,0,416,4,1020,11,368,405,2688
Esrrb3,1238,1231,2725,2568,2878,1339,2734,2665
Esrrb4,3067,2394,1797,3791,2205,3733,4663,4537
Esrrb5,454,6,46,467,37,626,517,336
Esrrg1,34,139,6,199,320,142,197,1020
Esrrg2,301,170,137,460,50,707,746,351
Esrrg3,16364,38002,4348,16982,6597,13981,19124,20941
Esrrg4,575,401,1165,3195,302,3273,3699,6235
Hnf4a1,0,26,474,59,277,148,103,489
