target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Abcb1a,0.03867869167423521,5.044907379821538,2.6715382958075793,1.2918408614005017,1.891886616942436,0.7640250194642134,0.0617231976649819,5.006228688147303,2.6328596041333436,1.3305195530747367,1.8532079252682008,0.8027037111384486,0.10040188933921712,2.3733690840139583,6.33674824122204,3.153020762879102,5.808932399285751,5.10663057748652,3.963379157208081,0.779651678865143,3.4355633152717924,2.7332614934725608,3.1837274783429375,0.5278158419362882,1.2301176637355198,2.6559116364066497,1.9536098146074181,0.7023018217992316
Abcb1b,2.093826069220995,3.5432807358825187,2.308950004136505,4.798298709538095,0.39371528060574684,1.4335236135229081,0.5178986113933916,1.4494546666615233,0.21512393491551052,2.7044726403170993,1.7001107886152482,0.660302455698087,2.611724680614387,1.234330731746013,1.2550179736555762,3.149565455276772,2.10975712235961,4.0611793472759095,2.489348705401589,1.9152347235307585,0.8754263906135974,2.826848615529897,4.404583428932347,3.3647750960151863,5.316197320931487,1.0398083329171612,0.9116138919991386,1.9514222249162998
Ahr,2.2577621069790488,2.9552742604766764,3.391768018236951,2.3898559745147616,3.0759164228911273,2.018180316295534,5.686092303826613,0.7029887524276881,1.424648719344705,1.0475385611660684,1.320847537208294,0.566688141521492,3.436376878505793,0.9826981057150886,1.2376268605399587,1.2920595450275458,1.1517798279839981,2.761093668859651,1.076375617015876,2.264444481884777,1.9836705170249833,2.8273928995278115,2.3322374101773793,1.535981912177285,3.7966258279137115,1.1258170643467067,2.95054457742706,3.715691547011781
Ar,2.5425189825421843,2.4585951769944785,3.4343164948745755,3.0616096191135425,1.6140506744791656,3.1431952771901877,2.690161401202062,3.3547341561906796,1.4378050160025961,2.7080134643094746,1.966169596888633,0.9678574806265162,2.0166574698586017,4.750011701138965,1.4305821668601022,1.4276860384034038,4.303461281334478,4.657230976283083,4.137200347093985,3.330868881794803,0.47619119382715647,1.432149002289332,1.467620086751718,3.661534794750608,4.479714607295275,2.893244853490668,3.275935545271502,1.5625103685546915
Blimp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cd19,1.9419700046586374,2.198538488299889,1.0906410385052667,1.731924680319825,1.3049631687355212,0.7190194478891814,1.8176422538296446,3.533748172655968,0.9575729776389965,3.1935211174338827,3.041528725205045,2.2656977523589554,3.460419731256752,3.0621222313682623,0.4823693401678849,2.828538834560804,2.7566895276090393,0.700275763779226,2.6447672325119216,2.0861340520511256,1.3093698241700622,2.8231431912858205,2.3621756954138062,2.2748465795604575,0.42015934594171644,0.7771277304346211,2.19800727722981,2.2506557410499584
Cd8a,0.4097250265347369,2.0077956460570543,0.5192526094690351,6.167093223835458,1.8815440570404858,1.2859072932968516,4.158764323829118,2.4175206725917917,0.10952758293429808,6.576818250370194,2.291269083575223,1.6956323198315884,3.749039297294381,2.52704825552609,4.159297577778403,0.12625158901656874,0.7218883527602031,6.166559969886173,6.686345833304492,2.4007966665095206,1.8051599027658867,3.639511714360083,4.285549166794972,4.881185930538606,10.325857547664574,0.5956367637436344,6.040308380869604,5.4446716171259695
Creb,1.7004138960565311,0.6476206880856168,1.7092359859524038,0.2644648229672199,0.8651535113079944,0.04962140894606648,1.3323595426437718,1.0527932079709146,0.00882208989587241,1.9648787190237513,2.565567407364526,1.6507924871104647,3.032773438700303,1.061615297866787,0.9120855110528368,1.512774199393611,0.5979992791395503,1.9799802307293886,1.9737008089196237,2.5743894972603982,1.6596145770063373,3.0415955285961753,0.6006886883407744,0.31408623191328644,1.067894719676552,0.9147749202540608,0.46720603133577754,1.3819809515898382
Dmrta1,1.218929573598567,5.074077596483036,1.6807208879820976,2.9053609055402583,1.8159883098783984,1.3750319284156103,2.887740388495066,4.8455258072987135,2.117721812945905,3.0112385096428387,2.614173053372056,1.254654672771422,3.15751876344915,3.609228563189513,2.73143477231762,4.6633499592244885,5.962602616706295,6.592064787553697,1.759790096398445,1.5985055935617796,2.8077777408739384,3.4985167677937112,3.0878540493768805,4.01937576874846,4.7265336181243045,2.8518119601280896,3.930587511914046,2.5045407161982673
Eomes,1.8216876216554454,2.328685584021273,2.1035639620222524,1.98459854833791,1.3174065539598756,1.3359111925795748,1.2600130407465588,1.0846766754083863,0.9037412733072449,1.034400544358238,0.9990718553909653,1.0340950520133871,1.0893207481600495,0.6203303494856265,0.5018144558925401,1.1748222772473271,1.4195680735026666,1.700465990365075,0.8832928187335155,0.900618383325946,0.9676994249097968,1.4210713473607348,1.01188067710382,1.3456539155928144,1.5214839044770454,0.7421787223965002,0.7289968009431814,1.1367004730086843
