target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Abcb1a,-0.4036442852431346,1.0289712684281478,2.02633175420033,-0.047575352678213646,2.776573297801613,1.2572645729334935,4.9824962583929215,1.252502033308909,2.5443929038851554,-0.0003367673176859595,2.965685437271145,1.5835221970644455,4.608731157265319,0.3506298761482289,-1.0724822995485523,0.38565770917014053,-0.7010702992580441,-0.6012111849354737,-1.4686948839417335,0.1631626295744235,-1.3059174730973413,-1.3093714778028738,1.6364142548033531,1.2205814141249294,1.0796910531628463,-2.0626761307779806,-1.666139795354213,0.48008722666068876
Abcb1b,0.24071865263837752,0.6208399382867462,1.0996698160017957,0.03681642334360593,0.9080878279748036,0.4110614880355935,1.5862287256055139,0.9329571533860658,3.6236638471924856,-0.10278991848700306,0.22153858219006534,0.305845186681962,0.6067333208801534,0.24154022598623734,-1.1020147395614484,-0.5791471084320434,-0.6270333096765301,-0.10503547273415047,-0.8599538814295481,-1.0190521565641475,-1.3674726817928897,-0.31296443684714764,0.1651850274219634,0.15876314797386246,0.3927949982688125,-0.07968545899114626,0.823512424049372,0.5860464274800545
Ahr,0.6385954778563693,0.5441005181462837,0.3235176915997328,0.6187199964184866,0.04801081502432938,0.04226583791436152,0.0759402650286748,0.4702902645374487,-0.14155320177193223,0.4724884390789477,-0.660576694012061,-1.1641285548678353,-0.30678899279518634,-0.6089438411224357,0.05331344447776476,-1.0571731035308893,-0.950034467845169,-0.5459579364213801,0.5081522270565403,-0.4222847215837504,-0.40551637937730867,-0.27279206131159994,-0.6180120529227505,-0.7564906310768841,-0.4281940663222735,-0.025850285730758062,0.07607958607975436,0.07610647865691064
Ar,-0.3023734321445788,-0.3628264358507434,-0.43234248507599576,0.28183243129961943,0.042500431571224566,-0.308957910782464,-0.5882750110876884,-0.17291180929359962,-0.4394729365129309,0.6173800610966393,0.3435030562748795,-0.1854618429971968,-0.47210759436640165,-0.05340037974158525,1.0258736330401386,0.70115399247578,0.08441829137496097,-0.13922512716349503,0.6051476988065833,0.5691223598920633,0.44338458385169066,-0.1983667408110726,-0.3943851989491187,-0.4824969958345732,-0.6329312650926993,-0.4589477897617352,-0.6710137297391316,-0.4396505537525592
Blimp,0.028280206851879354,-0.00953781741201857,0.03027491042284112,-0.019225863507519793,0.0052182633714735055,-0.0013524540215161158,0.15277880435071717,-0.03223983609537512,0.010560920016164852,-0.04704909721787539,-0.019571788215626114,-0.02977714419027895,0.1446068956582026,0.046357709987691655,-0.011748777879971143,0.018429969601259272,0.0097772794970555,0.16339772432704447,-0.047141085932692596,-0.0312825907374101,-0.033393014177073035,0.14671858985535097,0.024146189769764785,0.018757008979634643,0.1511167101465398,-0.00831155142409057,0.1780759969123525,0.1769741371595328
Cd19,0.29195480522290324,0.16432135108097157,0.13450787837765904,0.5780392415666004,-0.0009117952616349154,0.26426159780221414,0.8823759672869396,-0.006891682368187232,-0.21216426478010178,0.37272433760978485,-0.20688559558549147,-0.08800175312287155,0.5258957531596646,-0.09930507493450379,0.8826069559635071,-0.20044838365753828,-0.05008599019053958,1.074105397508723,0.43584341984478964,-0.11993610230980435,0.06344254658917922,0.7445394450639718,-0.5219377766435146,-0.4060835414943623,0.35953306906448107,0.33246074354334454,0.9646249211557946,0.758765403481616
Cd8a,0.16978582616083876,0.6033372752095246,0.5956822143506388,0.5090640997765372,0.11849487652630555,0.3642740371656498,0.40398394872207033,0.5990225572853313,1.2338752875969554,0.6041581991115957,0.04731478688002962,0.300542053503985,0.420254429219183,-0.4264647378958581,0.25055993288809836,-2.7540539282815004,-0.7273001375119025,-0.07013862241142604,0.3885233453827165,-0.22601669169305527,-0.037366719802099775,0.255019020675963,-0.5837367401313187,-0.4463970562404608,-0.18655280325984896,0.4305633390691994,0.33451612641680123,0.22477189417288085
Creb,0.30744720840258044,0.054283302949377395,0.10633845454585043,0.39803265429046764,-0.022150896040622606,0.46466354426622386,-0.2520080513927261,-0.23832596269643402,-1.4966011426875725,-0.0324007714254811,-0.23470345545919577,-0.20388969943371915,-0.3672272245483752,0.09141855346763483,0.20327421695529083,-0.06617328344892419,0.062364611743911724,-0.24262563820309918,0.07591125301787938,-0.120162653687116,-0.027757415792366992,-0.2881080951706611,-0.3007543912225576,-0.22569480837080835,-0.4492633531017989,0.1806015182732439,-0.4766508565328405,-0.3825408817898681
Dmrta1,0.9875512560212392,0.2146745158426712,0.48046808952757974,0.011295315685999643,0.3157151803101155,0.5816548897299857,0.8252334824118093,-0.10788746140735993,-0.17799338732198458,-0.47954755003470634,-0.32396852534499365,-0.23185447010089136,0.372586551786495,0.01913252017142279,-0.31965192585039137,-0.10896127779407765,0.017333321547754892,0.3259696745533161,-0.39014026925354955,-0.23308214388863335,0.007661909719099448,0.5113051625824869,0.1699685758095181,0.2488593616282132,0.5452929060532892,0.21000313202009382,0.628725708323439,0.5777800979854655
Eomes,-0.2160494051160357,-0.3605491484346901,0.11955110880512133,-0.028217258089584113,-0.14782473867906354,0.025338098206049715,0.6538265473025076,-0.41699700035914733,0.507867604846027,0.17391709004117123,0.08136861671046507,0.3195645731552462,0.991715998387924,1.1806346992386596,0.8132868397717954,0.5399859574839789,0.5514128982568677,1.051897257578391,-0.20495438360899315,-0.41845487616632354,-0.1568516582872446,0.5652557886534161,-0.08466027851346476,0.05437509763517093,0.5447464490474572,0.29065678648674104,1.2328469222775182,0.7628357152431381
